# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
jaringan||jaring|
lukisan||lukis|
ciuman||cium|
angkatan||angkat|
ukuran||ukur|
penyelidikan||penyelidik|
ratusan||ratus|
pembicaraan||pembicara|
gangguan||ganggu|
kutukan||kutuk|
jutaan||juta|
saluran||salur|
sungguhan||sungguh|
mainan||main|
pemeriksaan||pemeriksa|
ingatan||ingat|
bayangan||bayang|
apaan||apa|
pandangan||pandang|
potongan||potong|
pelatihan||pelatih|
bayaran||bayar|
tanaman||tanam|
taruhan||taruh|
penderitaan||penderita|
layanan||layan|
lautan||laut|
tawaran||tawar|
belakangan||belakang|
buatan||buat|
balapan||balap|
jaminan||jamin|
lingkaran||lingkar|
sekalian||sekali|
dukungan||dukung|
menyalakan||nyala|
tuduhan||tuduh|
hitungan||hitung|
putaran||putar|
tantangan||tantang|
jebakan||jebak|
tulisan||tulis|
pengiriman||pengirim|
kuburan||kubur|
tumpangan||tumpang|
tagihan||tagih|
tarian||tari|
penjualan||penjual|
pemerintahan||pemerintah|
pegangan||pegang|
ucapan||ucap|
ikatan||ikat|
bersamaan||bersama|
aliran||alir|
penyerangan||penyerang|
kunjungan||kunjung|
peternakan||peternak|
penemuan||penemu|
pimpinan||pimpin|
undangan||undang|
siaran||siar|
pujian||puji|
penculikan||penculik|
tuntutan||tuntut|
masukan||masuk|
penawaran||penawar|
pesanan||pesan|
pacaran||pacar|
tunjukan||tunjuk|
salinan||salin|
pencurian||pencuri|
penangkapan||penangkap|
urutan||urut|
pinjaman||pinjam|
pemilihan||pemilih|
pelayanan||pelayan|
murahan||murah|
barisan||baris|
baikan||baik|
cairan||cair|
hiburan||hibur|
pelukan||peluk|
tipuan||tipu|
hadapan||hadap|
kerjaan||kerja|
jaman|||
gambaran||gambar|
penipuan||penipu|
tumpukan||tumpuk|
gigitan||gigit|
pengkhianatan||pengkhianat|
jagoan||jago|
campuran||campur|
daratan||darat|
ramuan||ramu|
rincian||rinci|
warisan||waris|
penyelamatan||penyelamat|
sentuhan||sentuh|
hidangan||hidang|
harian||hari|
masakan||masak|
pembukaan||pembuka|
penembakan||penembak|
pemberontakan||pemberontak|
teriakan||teriak|
lapisan||lapis|
setelan||setel|
pemanasan||pemanas|
keluhan||keluh|
atasan||atas|
tahunan||tahun|
pembantaian||pembantai|
terjemahan||terjemah|
jangkauan||jangkau|
tampilan||tampil|
kawanan||kawan|
pelarian||pelari|
dorongan||dorong|
ramalan||ramal|
kumpulan||kumpul|
asuhan||asuh|
penahanan||penahan|
puluhan||puluh|
tawanan||tawan|
peliharaan||pelihara|
sayuran||sayur|
jeritan||jerit|
dugaan||duga|
jabatan||jabat|
penggunaan||pengguna|
pengaturan||pengatur|
balasan||balas|
obrolan||obrol|
suntikan||suntik|
tatapan||tatap|
landasan||landas|
pecahan||pecah|
tendangan||tendang|
paduan||padu|
khayalan||khayal|
pasokan||pasok|
pengendalian||pengendali|
sambutan||sambut|
curian||curi|
bakalan||bakal|
tabrakan||tabrak|
kenalan||kenal|
panduan||pandu|
getaran||getar|
lintasan||lintas|
kiriman||kirim|
pinggiran||pinggir|
gulungan||gulung|
batasan||batas|
lompatan||lompat|
belahan||belah|
sebutan||sebut|
pemberian||pemberi|
rancangan||rancang|
erangan||erang|
muatan||muat|
lulusan||lulus|
senyuman||senyum|
goresan||gores|
pengalihan||pengalih|
lagian||lagi|
rendahan||rendah|
ayunan||ayun|
penerimaan||penerima|
hambatan||hambat|
lemparan||lempar|
pembersihan||pembersih|
pembelaan||pembela|
gabungan||gabung|
pendapatan||pendapat|
simpanan||simpan|
penyembuhan||penyembuh|
tabungan||tabung|
sambungan||sambung|
pembuatan||pembuat|
pengamatan||pengamat|
percikan||percik|
pengintaian||pengintai|
rintangan||rintang|
buruan||buru|
dataran||datar|
satuan||satu|
nyanyian||nyanyi|
rangkaian||rangkai|
letakan||letak|
ajaran||ajar|
sumbangan||sumbang|
ungkapan||ungkap|
terobosan||terobos|
miliaran||miliar|
gugatan||gugat|
cetakan||cetak|
kurungan||kurung|
lembaran||lembar|
karangan||karang|
golongan||golong|
jahitan||jahit|
tiruan||tiru|
saingan||saing|
pemotongan||pemotong|
malahan||malah|
tebakan||tebak|
tusukan||tusuk|
penjagaan||penjaga|
pemerkosaan||pemerkosa|
tingkatan||tingkat|
godaan||goda|
siksaan||siksa|
pengenalan||pengenal|
bimbingan||bimbing|
penutupan||penutup|
pembelian||pembeli|
tumbuhan||tumbuh|
bendungan||bendung|
penghancuran||penghancur|
tangkapan||tangkap|
kandungan||kandung|
tangisan||tangis|
tanggapan||tanggap|
samaran||samar|
lamaran||lamar|
bujangan||bujang|
larangan||larang|
ketukan||ketuk|
tontonan||tonton|
bawaan||bawa|
gantungan||gantung|
antrian||antri|
pengamanan||pengaman|
hiasan||hias|
penciptaan||pencipta|
arahan||arah|
benturan||bentur|
halangan||halang|
pencucian||pencuci|
pendengaran||pendengar|
omongan||omong|
sekolahan||sekolah|
pindahan||pindah|
sengatan||sengat|
dekan|||
ciptaan||cipta|
cucian||cuci|
batuan||batu|
tunjangan||tunjang|
pensiunan||pensiun|
pancaran||pancar|
tamparan||tampar|
lanjutan||lanjut|
semprotan||semprot|
lusinan||lusin|
manisan||manis|
gemetaran||gemetar|
bawahan||bawah|
parkiran||parkir|
ulasan||ulas|
pemadaman||pemadam|
dakwaan||dakwa|
kepingan||keping|
ukiran||ukir|
putusan||putus|
bantalan||bantal|
cobaan||coba|
pusaran||pusar|
bisikan||bisik|
kaitan||kait|
bacaan||baca|
sampingan||samping|
jamuan||jamu|
singkatan||singkat|
bulanan||bulan|
penyelundupan||penyelundup|
pemindaian||pemindai|
undian||undi|
hembusan||hembus|
temuan||temu|
ejekan||ejek|
sewaan||sewa|
susunan||susun|
sorotan||sorot|
pasaran||pasar|
bualan||bual|
genggaman||genggam|
belokan||belok|
benjolan||benjol|
tayangan||tayang|
tetesan||tetes|
lonjakan||lonjak|
gurauan||gurau|
candaan||canda|
anggapan||anggap|
pembacaan||pembaca|
pemukulan||pemukul|
rumahan||rumah|
pengetahuan||tahu|
kepemilikan||pemilik|
kepemimpinan||pemimpin|
perhatikan||hati|
perbaiki||baik|
perlihatkan||lihat|
perkenalkan||kenal|
pertunjukkan||tunjuk|n.;v.
pertahankan||tahan|
persiapkan||siap|
pertimbangkan||timbang|
peringatkan||ingat|
perlakukan||laku|
pertaruhkan||taruh|
perjuangkan||juang|
perkirakan||kira|
persembahkan||sembah|
permainkan||main|
terjadi||jadi|
terlihat||lihat|
terakhir||akhir|
terbaik||baik|
terlambat||lambat|
terluka||luka|
tersebut||sebut|
terbuka||buka|
tertawa||tawa|
tertarik||tarik|
terdengar||dengar|
terkenal||kenal|
terserah||serah|
termasuk||masuk|
terasa||rasa|
terbesar||besar|
terbakar||bakar|
terbunuh||bunuh|
terkadang||kadang|
tergantung||gantung|
terutama||utama|
tertangkap||tangkap|
tersenyum||senyum|
terburuk||buruk|
tertentu||tentu|
terkena||kena|
tertidur||tidur|
terhormat||hormat|
tersesat||sesat|
terkunci||kunci|
tertutup||tutup|
terbiasa||biasa|
tertembak||tembak|
tertulis||tulis|
tersembunyi||sembunyi|
terpisah||pisah|
terlebih||lebih|
terhubung||hubung|
terkesan||kesan|
terbangun||bangun|
terbaru||baru|
tertinggi||tinggi|
terjatuh||jatuh|
terikat||ikat|
terpenting||penting|
terpaksa||paksa|
terbatas||batas|
terbuat||buat|
terkutuk||kutuk|
terpilih||pilih|
terinfeksi||infeksi|
tersinggung||singgung|
terdapat||dapat|
terganggu||ganggu|
terkait||kait|
terhebat||hebat|
terdekat||dekat|
terlepas||lepas|
terjaga||jaga|
terlahir||lahir|
tertinggal||tinggal|
tegang|||adj.
terduga||duga|
terbalik||balik|
tersedia||sedia|
terkuat||kuat|
terbukti||bukti|
terletak||letak|
terbenam||benam|
terperangkap||perangkap|
terdaftar||daftar|
tersebar||sebar|
terlarang||larang|
tertekan||tekan|
terkendali||kendali|
tertipu||tipu|
tercinta||cinta|
terlatih||latih|
tersayang||sayang|
tercepat||cepat|
tertua||tua|
terungkap||ungkap|
terancam||ancam|
terputus||putus|
tersentuh||sentuh|
terpikir||pikir|
teringat||ingat|
terkubur||kubur|
terjual||jual|
terbaring||baring|
terpesona||pesona|
terisi||isi|
teratur||atur|
tegak|||
terpengaruh||pengaruh|
terdeteksi||deteksi|
terwujud||wujud|
tergelincir||gelincir|
tetua||tua|
tersangkut||sangkut|
tersandung||sandung|
terdiri||diri|
terbuang||buang|
terbawa||bawa|
terhitung||hitung|
terpasang||pasang|
terindah||indah|
terkurung||kurung|
terjawab||jawab|
terdampar||dampar|
terbentuk||bentuk|
teratas||atas|
tersambung||sambung|
terpercaya||percaya|
terlintas||lintas|
tercatat||catat|
tercantik||cantik|
tersimpan||simpan|
terulang||ulang|
tertunda||tunda|
terdalam||dalam|
terguncang||guncang|
terpukul||pukul|
tersendiri||sendiri|
terbentur||bentur|
tersiksa||siksa|
tergoda||goda|
terinspirasi||inspirasi|
tertahan||tahan|
terbongkar||bongkar|
terjepit||jepit|
tertabrak||tabrak|
terisolasi||isolasi|
terkecil||kecil|
tergores||gores|
tergeletak||geletak|
terbelakang||belakang|
terbebas||bebas|
tertanam||tanam|
terkaya||kaya|
termuda||muda|
terhenti||henti|
terorganisir||organisir|
tercapai||capai|
terhapus||hapus|
terendah||rendah|
terpotong||potong|
tertusuk||tusuk|
tercekik||cekik|
tersulit||sulit|
tertular||tular|
tercipta||cipta|
ternilai||nilai|
tertuju||tuju|
terlempar||lempar|
terkini||kini|
terdepan||depan|
terhindar||hindar|
tersadar||sadar|
terangkat||angkat|
terkontaminasi||kontaminasi|
terlacak||lacak|
terdiam||diam|
terpojok||pojok|
terberat||berat|
terbodoh||bodoh|
tercium||cium|
terbelah||belah|
terkirim||kirim|
terlewat||lewat|
memiliki||milik|
melalui||lalu|
mengetahui||tahu|
melindungi||lindung|
menyukai||suka|
mengikuti||ikut|
melewati||lewat|
mencintai||cinta|
mempunyai||punya|
menyadari||sadar|
menghubungi||hubung|
menemui||temu|
memahami||paham|
menghadapi||hadap|
menyakiti||sakit|
menghargai||harga|
mengawasi||awas|
memasuki||masuk|
mempercayai||percaya|
menjalani||jalan|
mendekati||dekat|
melayani||layan|
mengunjungi||kunjung|
menghormati||hormat|
memenuhi||penuh|
menghindari||hindar|
mengakhiri||akhir|
menguasai||kuasa|
mengatasi||atas|
menikahi||nikah|
mempelajari||ajar|
menyelidiki||selidik|
menutupi||tutup|
mengenali||kenal|
melukai||luka|
menghalangi||halang|
mengkhianati||khianat|
mempengaruhi||pengaruh|
melebihi||lebih|
mengurangi||kurang|
mengendarai||kendara|
mewakili||wakil|
mengajari||ajar|
melintasi||lintas|
menghadiri||hadir|
menakuti||takut|
menyetujui||setuju|
menyayangi||sayang|
mendatangi||datang|
menghabisi||habis|
memberkati||berkat|
mematuhi||patuh|
menyeberangi||seberang|
mengelilingi||keliling|
menaiki||naik|
mengagumi||kagum|
melampaui||lampau|
menepati||tepat|
memukuli||pukul|
mengobati||obat|
mengampuni||ampun|
ampuni||ampun|v.
diampuni||ampun|v.
menembaki||tembak|
meracuni||racun|
menemani||teman|
menandai||tanda|
menanggapi||anggap|
meniduri||tidur|
menyusuri||susur|
mencurigai||curiga|
mewarisi||waris|
menjelajahi||jelajah|
mengurusi||urus|
memerangi||perang|
menuruti||urut|
mengencani||kencan|
membohongi||bohong|
mendapati||dapat|
mengotori||kotor|
menjauhi||jauh|
menghakimi||hakim|
membodohi||bodoh|
mengasihi||kasih|
mengulangi||ulang|
membiayai||biaya|
menanyai||tanya|
menuruni||turun|
mencicipi||cicip|
menghantui||hantu|
mewawancarai||wawancara|
melunasi||lunas|
membatasi||batas|
merasuki||rasuk|
meyakini||yakin|
menempati||tempat|
mencampuri||campur|
menduduki||duduk|
menelusuri||telusur|
melengkapi||lengkap|
membuntuti||buntut|
mengitari||kitar|
mendahului||dahulu|
melompati||lompat|
menerangi||terang|
mengelabui||kelabu|
meliputi||liput|
menamai||nama|
menyebrangi||sebrang|
mengirimi||kirim|
memandangi||pandang|
mengasihani||kasihan|
melucuti||lucut|
membanjiri||banjir|
mendanai||dana|
menodai||noda|
menghampiri||hampir|
memarahi||marah|
menghianati||khianat|
menyertai||serta|
mengabari||kabar|
kelabu|||
begitu|||
berada||ada|
bertemu||temu|
bekerja||kerja|
berpikir||pikir|
berbicara||bicara|
berhasil||hasil|
berdua||dua|
berarti||arti|
berjalan||jalan|
bermain||main|
berakhir||akhir|
berubah||ubah|
bertanya||tanya|
berbeda||beda|
berharap||harap|
berkata||kata|
berusaha||usaha|
belajar||ajar|
bercanda||canda|
beruntung||untung|
berbohong||bohong|
begini|||
berbahaya||bahaya|
bersalah||salah|
bergabung||gabung|
berjanji||janji|
berguna||guna|
bernama||nama|
bersumpah||sumpah|
berasal||asal|
berhubungan||hubungan|
bertanggung||tanggung|
bermaksud||maksud|
berharga||harga|
berbuat||buat|
bercinta||cinta|
berteriak||teriak|
berterima||terima|
berlari||lari|
berdoa||doa|
bersiap||siap|
bersedia||sedia|
berlatih||latih|
berteman||teman|
berencana||rencana|
berdarah||darah|
bernyanyi||nyanyi|
bermimpi||mimpi|
bertaruh||taruh|
berusia||usia|
berkumpul||kumpul|
berlangsung||langsung|
berumur||umur|
berlalu||lalu|
berburu||buru|
berkelahi||kelahi|
berpakaian||pakaian|
berhak||hak|
berfungsi||fungsi|
berurusan||urusan|
berbalik||balik|
berhutang||hutang|
beristirahat||istirahat|
berbaring||baring|
bernapas||napas|
berputar||putar|
berlaku||laku|
berikut||ikut|
bersenjata||senjata|
bersemangat||semangat|
berkencan||kencan|
berperang||perang|
berutang||utang|
berniat||niat|
bertugas||tugas|
bersinar||sinar|
berduka||duka|
bernafas||nafas|
bertingkah||tingkah|
berpisah||pisah|
berdansa||dansa|
berlutut||lutut|
bercerita||cerita|
berisi||isi|
bermasalah||masalah|
bertempur||tempur|
bertiga||tiga|
berlayar||layar|
bertambah||tambah|
berbakat||bakat|
berkuasa||kuasa|
berfikir||fikir|
bersatu||satu|
beraksi||aksi|
berwarna||warna|
berkeliling||keliling|
bergantung||gantung|
berdebat||debat|
berjumpa||jumpa|
bercerai||cerai|
bersyukur||syukur|
berkomunikasi||komunikasi|
berdosa||dosa|
berhadapan||hadapan|
berpesta||pesta|
berlanjut||lanjut|
bernilai||nilai|
berkunjung||kunjung|
berlindung||lindung|
berdaya||daya|
berbunyi||bunyi|
berkendara||kendara|
bergaul||gaul|
bersaudara||saudara|
bersantai||santai|
berwenang||wenang|
bersaksi||saksi|
beracun||racun|
berpikiran||pikiran|
berkemas||kemas|
berdering||dering|
bereaksi||reaksi|
berpaling||paling|
berulang||ulang|
berbaris||baris|
berambut||rambut|
berlibur||libur|
beralih||alih|
berkaitan||kaitan|
bersorak||sorak|
berbisnis||bisnis|
berantai||rantai|
berkeringat||keringat|
beroperasi||operasi|
berdetak||detak|
bersaing||saing|
berselingkuh||selingkuh|
berkurang||kurang|
bertunangan||tunangan|
bertukar||tukar|
berpengaruh||pengaruh|
berpengalaman||pengalaman|
berkenalan||kenalan|
berbisik||bisik|
berbau||bau|
berciuman||ciuman|
berbahasa||bahasa|
beresiko||resiko|
bernegosiasi||negosiasi|
bersahabat||sahabat|
bersedih||sedih|
berasumsi||asumsi|
berpencar||pencar|
berbentuk||bentuk|
berperilaku||perilaku|
berkorban||korban|
berkemah||kemah|
berpindah||pindah|
berpihak||pihak|
berbelanja||belanja|
belanda|||
berkedip||kedip|
bergetar||getar|
benih|||
berbulu||bulu|
berkonsentrasi||konsentrasi|
berhati||hati|adj.
bergurau||gurau|
berpegangan||pegangan|
bertanding||tanding|
berkuda||kuda|
berjudi||judi|
berperan||peran|
bercakap||cakap|
berganti||ganti|
berdamai||damai|
berjaga||jaga|
berbincang||bincang|
bergairah||gairah|
bersuara||suara|
berapi||api|
berterimakasih||terimakasih|
bersabar||sabar|
berkulit||kulit|
bersifat||sifat|
berpendapat||pendapat|
berpartisipasi||partisipasi|
berakting||akting|
berisiko||risiko|
bersenang||senang|
beserta||serta|
bermanfaat||manfaat|
berpegang||pegang|
berkomitmen||komitmen|
berempat||empat|
berdiam||diam|
berkelas||kelas|
berpacaran||pacaran|
beradaptasi||adaptasi|
becanda||canda|
beredar||edar|
berdandan||dandan|
bertepuk||tepuk|
bertopeng||topeng|
bermula||mula|
bergoyang||goyang|
bersandar||sandar|
berfoto||foto|
berkilau||kilau|
bebatuan||batu|
beranggapan||anggapan|
berujung||ujung|
bermata||mata|
bersekolah||sekolah|
bergaya||gaya|
berkhianat||khianat|
bersekongkol||sekongkol|
berbaur||baur|
berhalusinasi||halusinasi|
berinvestasi||investasi|
berdebar||debar|
bersejarah||sejarah|
berjarak||jarak|
bertahun||tahun|
beralasan||alasan|
berpelukan||pelukan|
berkarat||karat|
bersyarat||syarat|
bertekad||tekad|
berjabat||jabat|
bercahaya||cahaya|
berevolusi||revolusi|
bersiul||siul|
berbelok||belok|
bermakna||makna|
berpendidikan||pendidikan|
berkualitas||kualitas|
bertiup||tiup|
berupa||rupa|
bergumam||gumam|
berunding||runding|
berdasar||dasar|
bermalam||malam|
berkerja||kerja|
berperasaan||perasaan|
bercumbu||cumbu|
bertujuan||tujuan|
berminat||minat|
berbasis||basis|
berakibat||akibat|
bersepeda||sepeda|
berawal||awal|
berbaik||baik|
berhantu||hantu|
berbahagia||bahagia|
berolahraga||olahraga|
berdiskusi||diskusi|
berkelana||kelana|
berdampak||dampak|
bergeser||geser|
berjudul||judul|
berkomentar||komentar|
berukuran||ukuran|
berpasangan||pasangan|
berguling||guling|
berpotensi||potensi|
bercampur||campur|
berandal|||
berlabuh||labuh|
berinteraksi||interaksi|
berpatroli||patroli|
bergembira||gembira|
bernasib||nasib|
bergulir||gulir|
berpidato||pidato|
beriman||iman|
bermoral||moral|
bersimpati||simpati|
berwajah||wajah|
berantah||antah|
berseragam||seragam|
berkaki||kaki|
bercukur||cukur|
bertobat||tobat|
berantem||antem|
berspekulasi||spekulasi|
bertenaga||tenaga|
berbulan||bulan|
bertahap||tahap|
berlomba||lomba|
berupaya||upaya|
berseru||seru|
berkhayal||khayal|
berjemur||jemur|
berayun||ayun|
bersusah||susah|
bertabrakan||tabrakan|
berasa||rasa|
berdebu||debu|
berhembus||hembus|
berbaju||baju|
bereksperimen||eksperimen|
berlapis||lapis|
bersekutu||sekutu|
berdagang||dagang|
berminyak||minyak|
bertumbuh||tumbuh|
bermurah||murah|
berotot||otot|
bermutasi||mutasi|
bergulat||gulat|
berhubung||hubung|
bermuka||muka|
beragam||ragam|
bersarang||sarang|
berpura||pura|
berpura-pura||pura-pura|v.
berfokus||fokus|
berkepala||kepala|
bersenandung||senandung|
mengatakan||kata|
menemukan||temu|
mendapatkan||dapat|
meninggalkan||tinggal|
memberikan||beri|
menggunakan||guna|
menyelamatkan||selamat|
menyenangkan||senang|
membiarkan||biar|
membutuhkan||butuh|
menunjukkan||unjuk|
menghancurkan||hancur|
memikirkan||pikir|
memutuskan||putus|
mendengarkan||dengar|
merasakan||rasa|
menghabiskan||habis|
mengerikan||ngeri|
menghentikan||henti|
menyelesaikan||selesai|
menginginkan||ingin|
melarikan||lari|
merupakan||rupa|
memastikan||pasti|
menjelaskan||jelas|
mengalahkan||kalah|
menempatkan||tempat|
membicarakan||bicara|
menyedihkan||sedih|
mengeluarkan||keluar|
menyebabkan||sebab|
menjalankan||jalan|
melupakan||lupa|
membersihkan||bersih|
melepaskan||lepas|
menakutkan||takut|
memenangkan||menang|
membuktikan||bukti|
mengucapkan||ucap|
mengirimkan||kirim|
menceritakan||cerita|
menyerahkan||serah|
menyebalkan||sebal|
memalukan||malu|
menanyakan||tanya|
mengagumkan||kagum|
mengumpulkan||kumpul|
melanjutkan||lanjut|
mematikan||mati|v.;v.;adj.
menawarkan||tawar|
mengendalikan||kendali|
mengembalikan||kembali|
memerlukan||perlu|
menghasilkan||hasil|
menyakitkan||sakit|
memainkan||main|
meletakkan||letak|
meyakinkan||yakin|
melewatkan||lewat|
membosankan||bosan|
memecahkan||pecah|
mengacaukan||kacau|
melaporkan||lapor|
mengerjakan||kerja|
mengharapkan||harap|
menyalahkan||salah|
mengejutkan||kejut|
menyingkirkan||singkir|
menjatuhkan||jatuh|
menyaksikan||saksi|
menyiapkan||siap|
merencanakan||rencana|
menjijikkan||jijik|
menyatakan||nyata|
mengadakan||ada|
merindukan||rindu|
merayakan||raya|
menyebutkan||sebut|
memasukkan||masuk|
mengingatkan||ingat|
memindahkan||pindah|
menentukan||tentu|
membebaskan||bebas|
menghilangkan||hilang|
meningkatkan||tingkat|
mengesankan||kesan|
meledakkan||ledak|
membahayakan||bahaya|
melemparkan||lempar|
mengabaikan||abai|
mengajarkan||ajar|
mengorbankan||korban|
memungkinkan||mungkin|
mematahkan||patah|
memaafkan||maaf|
melahirkan||lahir|
membatalkan||batal|
melibatkan||libat|
memanfaatkan||manfaat|
menyampaikan||sampai|
menyembuhkan||sembuh|
mengungkapkan||ungkap|
mengecewakan||kecewa|
menyarankan||saran|
menjadikan||jadi|
menurunkan||turun|
membawakan||bawa|
memerintahkan||perintah|
mengkhawatirkan||khawatir|
menyanyikan||nyanyi|
memisahkan||pisah|
mencurigakan||curiga|
menyediakan||sedia|
mengembangkan||kembang|
mengalihkan||alih|
menambahkan||tambah|
menggantikan||ganti|
menimbulkan||timbul|
menyeramkan||seram|
menjengkelkan||jengkel|
menenangkan||tenang|
menghubungkan||hubung|
menggambarkan||gambar|
menjanjikan||janji|
meragukan||ragu|
membesarkan||besar|
memberitahukan||beritahu|
menguntungkan||untung|
membingungkan||bingung|
menyebarkan||sebar|
menghidupkan||hidup|
meremehkan||remeh|
mengizinkan||izin|
mengandalkan||andal|
mengarahkan||arah|
mengantarkan||antar|
menyatukan||satu|
mempekerjakan||pekerja|
membangunkan||bangun|
mengundurkan||undur|
membuatkan||buat|
mengamankan||aman|
membelikan||beli|
menetapkan||tetap|
mengijinkan||ijin|
membereskan||beres|
menyesuaikan||sesuai|
menuliskan||tulis|
membangkitkan||bangkit|
melelahkan||lelah|
memuaskan||puas|
melaksanakan||laksana|
menjauhkan||jauh|
menaikkan||naik|
mendirikan||diri|
mengaktifkan||aktif|
menaklukkan||takluk|
menembakkan||tembak|
menampilkan||tampil|
merepotkan||repot|
menerbangkan||terbang|
meluncurkan||luncur|
melumpuhkan||lumpuh|
menyimpulkan||simpul|
meneruskan||terus|
menumpahkan||tumpah|
memalsukan||palsu|
melainkan||lain|
memaksakan||paksa|
mewujudkan||wujud|
menggerakkan||gerak|
memulihkan||pulih|
merendahkan||rendah|
mendiskusikan||diskusi|
menggelikan||geli|
memusnahkan||musnah|
merahasiakan||rahasia|
membenarkan||benar|
membacakan||baca|
membalikkan||balik|
memimpikan||mimpi|
meminjamkan||pinjam|
menggabungkan||gabung|
merekomendasikan||rekomendasi|
menyegarkan||segar|
mengusulkan||usul|
membunyikan||bunyi|
mengakibatkan||akibat|
membalaskan||balas|
menyajikan||saji|
menyusahkan||susah|
membocorkan||bocor|
menegaskan||tegas|
menodongkan||todong|
mengosongkan||kosong|
menggemaskan||gemas|
mencemaskan||cemas|
meluruskan||lurus|
melegakan||lega|
mencarikan||cari|
menertawakan||tertawa|
membandingkan||banding|
menewaskan||tewas|
merugikan||rugi|
melenyapkan||lenyap|
meluangkan||luang|
mengemudikan||kemudi|
meringankan||ringan|
menuangkan||tuang|
mendatangkan||datang|
mengambilkan||ambil|
menerapkan||terap|
menggagalkan||gagal|
mengerahkan||kerah|
menenggelamkan||tenggelam|
melemahkan||lemah|
menerjemahkan||terjemah|
menumbuhkan||tumbuh|
menyisakan||sisa|
mengabulkan||kabul|
menyelundupkan||selundup|
memadamkan||padam|
menargetkan||target|
memamerkan||pamer|
menghangatkan||hangat|
membagikan||bagi|
mengherankan||heran|
menggairahkan||gairah|
mengekspresikan||ekspresi|
mempromosikan||promosi|
menginjakkan||injak|
membekukan||beku|
mengenalkan||kenal|
merapikan||rapi|
menegakkan||tegak|
mementingkan||penting|
menerbitkan||terbit|
mencerminkan||cermin|
membanggakan||bangga|
menguatkan||kuat|
menegangkan||tegang|
memancarkan||pancar|
merelakan||rela|
membiasakan||biasa|
menandakan||tanda|
menyiarkan||siar|
meramalkan||ramal|
menguburkan||kubur|
memanjakan||manja|
menugaskan||tugas|
menginformasikan||informasi|
menyumbangkan||sumbang|
mengesampingkan||samping|
mendedikasikan||dedikasi|
mendaftarkan||daftar|
memerankan||peran|
memuakkan||muak|
mempercayakan||percaya|
meruntuhkan||runtuh|
menyulitkan||sulit|
menggulingkan||guling|
mencalonkan||calon|
melecehkan||leceh|
menjernihkan||jernih|
memenjarakan||penjara|
meloloskan||lolos|
mengagetkan||kaget|
melambaikan||lambai|
mendaratkan||darat|
menyalurkan||salur|
menanamkan||tanam|
membahagiakan||bahagia|
menyesatkan||sesat|
menjinakkan||jinak|
menyuntikkan||suntik|
membolehkan||boleh|
mengayunkan||ayun|
mencocokkan||cocok|
mengabdikan||abdi|
menikahkan||nikah|
mengeringkan||kering|
menampakkan||tampak|
menyempurnakan||sempurna|
meneteskan||tetes|
menggandakan||ganda|
menggembirakan||gembira|
meredakan||reda|
menempelkan||tempel|
mengoperasikan||operasi|
mengusahakan||usaha|
mendefinisikan||definisi|
memanaskan||panas|
melampiaskan||lampias|
membukakan||buka|
kejam|||adj.
kemeja|||n.
serak|||adj.
abadi|||adj.
mengeras||keras|v.
berselancar|||v.
lakukan||laku|v.
dijalankan||jalan|v.
mengenakan||kena|v.
nahan||tahan|v.
geleng|||v.
per|||prep.
sobek|||v.
mulus|||adj.
berliku|||adj.
gubuk|||n.
pinggul|||n.
sendi|||n.
siku|||n.
matras|||n.
keris|||n.
ojek|||n.
sepoi-sepoi|||adj.
kosakata|||n.
menoleh|||v.
mengisap||isap|v.
sejengkal|||n.
deg-degan|||adj.
dengerin||dengar|v.
denger||dengar|v.
bayangin||bayang|v.
perhatiin|||v.
lihatin||lihat|v.
masakin||masak|v.
biarin||biar|v.
inget||ingat|v.
ketawa||tawa|v.
makasih|||interj.
anak buah|||idiom
salah satu|||pron.
masa depan|||n.
masa lalu|||n.
sakit hati|||idiom
balas dendam|||v.
suku cadang|||n.
sarung tangan|||n.
laut lepas|||n.
selamat malam|||interj.
menyala||nyala|v.
matikan||mati|v.
naikkan||naik|v.
hancurkan||hancur|v.
bersihkan||bersih|v.
aktifkan||aktif|v.
mendapat||dapat|v.
ceritakan||cerita|v.
mendarat||darat|v.
berbatu||batu|adj.
melepas||lepas|v.
sepotong||potong|n.
alami||alam|adj.;v.
apakah||apa|part.;conj.
kuncian||kunci|n.
temukan||temu|v.
menolong||tolong|v.
menurut||turut|prep.;v.
satu-satunya|||adj.
apa-apaan|||interj.
terburu-buru|||adj.
berhati-hati|||v.
kemana-mana|||adv.
dimana-mana|||adv.
membuang-buang||buang-buang|v.
menakut-nakuti||takut|v.
berjam-jam|||adv.
tergila-gila|||adj.
berkali-kali|||adv.
berabad-abad|||adv.
menyia-nyiakan|||v.;v.
sia-siakan|||v.;v.
mudah-mudahan|||adv.
memata-matai||mata-mata|v.
selama-lamanya|||adv.
besar-besaran|||adj.
berturut-turut|||adv.
berkeping-keping|||adj.
tergesa-gesa|||adj.
kekanak-kanakan|||adj.
habis-habisan|||adv.
berhari-hari|||adv.
berminggu-minggu|||adv.
seakan-akan|||conj.
