# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
immigrant|immigré|o
defensive|défensif, de défense; sur la défensive, susceptible|o;o
cube|cube|o
urban|urbain, de la ville|o
psychologist|psychologue|o
bathing|baignade, toilette|o
iot|(coquille pour lot) beaucoup|o
pickup|camionnette, pick-up; ramassage, prise en charge|o;o
sever|sectionner, trancher; rompre, couper|v;v
timer|minuteur, chronomètre|o
thorough|minutieux, approfondi|o
ethic|éthique, morale|o
ox|boeuf|o
nightclub|boîte de nuit|o
specimen|échantillon, spécimen|o
conservative|conservateur, attaché aux traditions; prudent, mesuré|o;o
nasa|NASA, l'agence spatiale américaine|o
user|utilisateur; consommateur de drogue|o;o
janitor|concierge, gardien|o
ex-husband|ex-mari|o
homosexual|homosexuel|o
confirmation|confirmation, preuve; confirmation (sacrement)|o;o
perish|périr, mourir; se détériorer, pourrir|v;v
adoption|adoption (d'un enfant); adoption (d'une idée)|o;o
lighten|alléger, éclaircir|v
jackass|(familier) crétin, imbécile; âne|o;o
revolt|se révolter, se soulever; dégoûter, révulser|v;v
cheerful|gai, de bonne humeur|o
acceptable|acceptable|o
clamor|(clameur, vociférations confuses)|g
realistic|réaliste, lucide; réaliste, fidèle à la réalité|o;o
banner|banderole, bannière|o
sufficient|suffisant|o
cosmic|cosmique, de l'univers; colossal, énorme|o;o
'we|(coquille pour we) nous|f1p
rebellion|rébellion, insurrection|o
shag|(vulgaire, britannique) baiser; poils longs d'un tapis|v;o
toad|crapaud|o
warmth|chaleur; chaleur, cordialité|o;o
magnum|magnum (gros pistolet); magnum (grande bouteille)|o;o
gardener|jardinier|o
alas|(vieilli) hélas|o
semester|semestre|o
sherry|xérès, sherry|o
viking|Viking|o
outlaw|hors-la-loi; interdire, proscrire|o;v
burglar|cambrioleur|o
calculation|calcul; calcul, préméditation|o;o
conceive|concevoir, imaginer; concevoir, tomber enceinte de|v;v
terrace|terrasse; rangée de maisons mitoyennes|o;o
scanner|scanner|o
app|application, appli|o
paramedic|secouriste, ambulancier|o
overtime|heures supplémentaires; prolongation|o;o
platoon|section, peloton|o
glimpse|aperçu, entrevue rapide|o
tailor|tailleur; adapter, ajuster|o;v
compartment|compartiment|o
'a|(coquille pour a) un, une|o
ruthless|impitoyable, sans pitié|o
crappy|(vulgaire) merdique, nul|o
scold|gronder, réprimander|v
stocking|bas|o
cant|(coquille pour can't) ne pas pouvoir|o
sh|(pour demander le silence)|g
brothel|maison close, bordel|o
vegetarian|végétarien; végétarien, sans viande|o;o
fin|nageoire|o
crank|manivelle; original, hurluberlu|o;o
shush|(pour demander le silence)|g
casting|choix des acteurs pour les rôles|o
heap|tas en désordre|o
snitch|dénoncer quelqu'un; personne qui dénonce|v;o
prophecy|annonce de ce qui va arriver|o
tread|marcher sur, poser le pied sur|v
tweet|(petit cri aigu d'un oiseau); court message publié en ligne|g;o
essay|court texte sur un sujet|o
graveyard|terrain où l'on enterre les morts|o
injustice|traitement injuste|o
ration|part fixe accordée quand il y a pénurie|o
buckle|boucle qui ferme une ceinture; se déformer sous l'effort|o;v
merit|valeur, qualité digne d'éloge; mériter|o;v
recite|réciter de mémoire à voix haute|v
ufo|OVNI, objet volant inexpliqué|o
matching|assorti, du même genre|o
uk|UK, le Royaume-Uni|o
correction|rectification d'une erreur|o
resignation|démission d'un emploi; résignation à ce qu'on ne peut changer|o;o
addiction|dépendance à une drogue ou à une habitude|o
batter|frapper à coups répétés; pâte de farine et d'œufs|v;o
shiver|trembler de froid ou de peur|v
sincerely|sincèrement, avec un sentiment vrai|o
freshman|étudiant de première année (américain)|o
weirdo|type bizarre (familier)|o
fatty|gras, riche en graisse; (insulte) gros|o;o
spicy|fortement épicé|o
panther|grand félin sauvage, souvent noir|o
operative|agent travaillant en secret pour un service; en vigueur, en fonctionnement|o;o
sheer|pur, rien que; à pic; très fin|o;o;o
sibling|frère ou sœur|o
valve|pièce qui règle le passage d'un liquide ou d'un gaz|o
willow|saule, arbre aux longues branches fines, souvent au bord de l'eau|o
fireman|pompier|o
rental|loyer payé pour une location; loué, de location|o;o
mother-in-law|belle-mère, mère du mari ou de la femme|o
virtually|presque, pratiquement; par image de synthèse|o;o
titan|personne d'une taille ou d'une puissance immense|o
tequila|alcool fort mexicain|o
paddle|pagaie de canoë; barboter dans l'eau peu profonde|o;v
consultant|expert qui donne des conseils professionnels; médecin hospitalier chef de service|o;o
proceeding|(proceedings) déroulement des événements; action en justice|o;o
masterpiece|chef-d'œuvre d'un artiste|o
rapist|violeur|o
unemployed|sans emploi rémunéré|o
slit|fente longue et étroite; fendre dans la longueur|o;v
insight|compréhension claire de ce qui est caché|o
hysterical|hors de contrôle sous l'effet de l'émotion; désopilant (familier)|o;o
sage|vieux sage; sauge, herbe de cuisine|o;o
contractor|entrepreneur engagé pour un travail|o
employment|travail rémunéré; fait de donner du travail|o;o
thats|(faute pour that's) c'est|o
mop|serpillière à franges montée sur un manche|o
publisher|éditeur de livres|o
enable|rendre capable ou possible|v
tribute|hommage, paroles ou gestes de respect; tribut payé par un peuple vaincu|o;o
aspirin|aspirine, médicament courant contre la douleur et la fièvre|o
cheerleader|pom-pom girl qui mène les encouragements d'une équipe|o
thrust|pousser fort et d'un coup|v
liberal|ouvert aux idées nouvelles, tolérant; généreux|o;o
cuban|cubain, de Cuba|o
plumber|plombier|o
mermaid|sirène, femme jusqu'à la taille et poisson en dessous|o
orgasm|orgasme, sommet du plaisir sexuel|o
iv|IV, perfusion directe dans une veine|o
cartel|cartel, entente d'entreprises ou de gangs pour contrôler un marché|o
hometown|ville natale ou ville où l'on a grandi|o
discreet|discret, qui sait ne pas trop en dire|o
thrive|prospérer, se développer|v
morphine|morphine, drogue puissante contre la douleur|o
dread|grande peur de ce qui vient|o
barrack|caserne où logent les soldats; huer un orateur|o;v
agony|douleur physique ou morale très vive|o
clank|(bruit métallique lourd)|g
awaken|se réveiller; éveiller un sentiment|v;v
karate|karaté, art martial japonais de coups de main et de pied|o
highlight|meilleur moment d'un événement; mettre en avant|o;v
zap|détruire d'un coup; filer à toute vitesse|v;v
creator|créateur de quelque chose de nouveau; (the Creator) Dieu|o;o
lone|seul, isolé|o
zoom|filer très vite; zoomer sur une image|v;v
detector|détecteur, appareil qui trouve ce qui est caché|o
monument|monument élevé à la mémoire de quelqu'un|o
reassure|rassurer|v
detain|placer en détention; retenir|v;v
gambler|joueur qui risque de l'argent|o
vip|VIP, personnage très important|o
void|vide; nul en droit|o;o
dome|dôme, toit arrondi|o
establishment|établissement, entreprise ou institution; création de quelque chose|o;o
sixteen|16|o
pioneer|pionnier, premier à s'installer ou à tenter|o
dental|dentaire|v
commence|commencer|v
sixty|60|o
mm-mm|(son qui veut dire non)|g
peer|scruter ce qu'on distingue mal; pair, personne de même rang|v;o
cavalry|cavalerie|o
dictate|dicter à quelqu'un qui écrit; imposer ses ordres|v;v
infinite|infini, sans fin ni limite|o
believer|croyant, personne qui a la foi ou confiance en une idée|o
ruling|décision officielle; au pouvoir|o;o
memo|note de service|o
meadow|pré|o
parallel|parallèle; tout à fait semblable|o;o
irrelevant|sans rapport avec la question|o
poppy|coquelicot, fleur rouge à cœur noir|o
thorn|épine sur la tige d'une plante|o
carpenter|menuisier|o
blush|rougir de honte|v
disciple|disciple, proche d'un maître ou d'une doctrine|o
perfection|perfection|o
abort|interrompre avant la fin; avorter|v;v
pluck|arracher; courage; pincer les cordes d'un instrument|v;o;v
enthusiasm|enthousiasme, intérêt vif|o
narcotic|stupéfiant qui engourdit les sens|o
greatly|beaucoup, grandement|o
hardware|quincaillerie, outils et articles en métal; matériel d'un ordinateur|o;o
irresponsible|irresponsable, sans penser aux conséquences|o
summit|sommet d'une montagne; sommet entre chefs d'État|o;o
audio|sonore, du son|v
cloak|cape sans manches; masquer|o;v
mineral|minéral tiré du sol|o
sweaty|en sueur|o
babysitter|baby-sitter qui garde un enfant en l'absence des parents|o
brigade|brigade, grande unité de soldats|o
diagnosis|diagnostic|o
tango|tango, danse sud-américaine à deux|o
beetle|coléoptère, insecte à élytres durs|o
steed|(vieilli) monture, cheval de selle|o
squash|écraser; squash, jeu de raquettes en salle; sirop de fruit|v;o;o
proving|fait de prouver|o
bundle|paquet de choses liées ensemble|o
napkin|serviette de table|o
bedtime|heure du coucher|o
funding|financement accordé dans un but|o
imprison|emprisonner|v
km|km, kilomètre|o
stem|tige principale d'une plante; (stem from) découler de|o;v
prejudice|préjugé, opinion formée sans connaître les faits|o
bacteria|bactéries, êtres minuscules qui causent des maladies|o
vocal|vocal, de la voix; qui dit haut ce qu'il pense|o;o
sanctuary|refuge sûr; sanctuaire d'un temple|o;o
surgical|chirurgical|v
elderly|âgé|o
eyebrow|sourcil|o
purely|purement, uniquement|o
hoot|(coup de klaxon, cri de hibou)|g
vibe|ambiance qu'un lieu ou une personne dégage (familier)|o
gong|(son grave d'un disque de métal frappé)|g
profound|profond, de sentiment ou de sens|o
shrine|sanctuaire à la mémoire d'un saint|o
slot|fente où l'on glisse quelque chose; créneau dans un emploi du temps|o;o
careless|négligent|o
fossil|fossile, reste de plante ou d'animal changé en pierre|o
terminate|mettre fin à|v
sloppy|négligé et peu soigné; trop mou ou trop liquide|o;o
fling|lancer violemment; aventure amoureuse passagère|v;o
foam|mousse de petites bulles; mousse, matière souple et légère|o;o
accelerate|accélérer|v
hideous|hideux, affreux|o
recorder|enregistreur de son; flûte à bec|o;o
separation|séparation; séparation avant le divorce|o;o
parish|paroisse|o
booty|butin de guerre; fesses (américain familier)|o;o
broker|courtier qui achète et vend pour autrui|o
tractor|tracteur|o
monastery|monastère|o
complication|complication qui rend une affaire plus difficile; complication d'une maladie|o;o
israeli|israélien|o
stoke|alimenter un feu; attiser un sentiment|v;v
reel|bobine pour enrouler un fil ou un film; tituber|o;v
superb|superbe, de première qualité|o
canvas|toile pour les tentes et la peinture|o
smuggle|faire passer en fraude|v
sponge|éponge, matière souple pleine de trous qui absorbe l'eau|o
tha|(faute pour the) le, la|o
refuge|abri contre le danger|o
righteous|juste, moralement droit; sûr de sa propre vertu|o;o
squadron|escadron d'avions, de navires ou de soldats|o
condolence|condoléances à qui a perdu un proche|o
overlap|recouvrir en partie; se chevaucher dans le temps|v;v
assumption|chose tenue pour vraie sans preuve|o
academic|universitaire, des études; purement théorique|o;o
senor|Señor, monsieur en espagnol|o
weaken|affaiblir, s'affaiblir|v
thirst|soif; soif ardente de quelque chose|o;o
rendezvous|rendez-vous convenu; lieu de rendez-vous|o;o
mute|muet, qui ne parle pas; couper le son|o;v
patron|mécène qui soutient un artiste ou une cause; client habituel|o;o
rational|rationnel, sensé|o
sculpture|sculpture, figure taillée ou modelée; art de sculpter|o;o
grandparent|grand-parent|o
scottish|écossais|o
streak|longue trace fine; série de chance|o;o
cunning|rusé, habile à tromper|o
panda|panda, grand ours noir et blanc de Chine|o
entrust|confier à la garde de quelqu'un|v
granddad|papi (mot d'enfant)|o
competitive|qui aime gagner; à prix concurrentiel|o;o
immune|immunisé contre une maladie; insensible à|o;o
regularly|à intervalles réguliers; souvent|o;o
transition|passage d'un état à un autre|o
martyr|martyr, personne tuée pour ses convictions|o
vase|vase à fleurs|o
chore|corvée|o
nursery|chambre d'enfant; pépinière|o;o
dynasty|dynastie, lignée de souverains d'une même famille|o
infant|bébé, tout jeune enfant|o
traveler|voyageur|o
mash|écraser en purée|v
mustard|moutarde|o
thirteen|13|o
expire|expirer, prendre fin; mourir|v;v
reinforcement|renforts envoyés; renforcement|o;o
transportation|transport de personnes ou de marchandises (américain)|o
ha-ha-ha|(bruit du rire)|g
interference|ingérence, fait de gêner; parasites qui brouillent un signal|o;o
twitter|(gazouillis léger des petits oiseaux)|g
freakin|(familier) fichu, pour insister|o
mourning|deuil porté pour un mort|o
wont|(faute pour won't) ne fera pas|o
transaction|opération, surtout un paiement|o
cereal|céréale cultivée; céréales du petit-déjeuner|o;o
gradually|peu à peu|o
father-in-law|beau-père, père du mari ou de la femme|o
filth|saleté répugnante; propos obscènes|o;o
immigration|immigration, entrée dans un pays pour y vivre; contrôle de l'immigration|o;o
momma|maman (américain familier)|o
innit|hein, n'est-ce pas (britannique familier)|o
jasmine|jasmin, plante grimpante aux fleurs parfumées|o
texting|envoi de textos|o
womb|utérus, organe où grandit le bébé|o
housewife|femme au foyer|o
lantern|lanterne|o
parasite|parasite qui vit aux dépens d'un autre; personne qui vit aux crochets des autres|o;o
insanity|folie; grande sottise|o;o
etc|etc., et ainsi de suite|o
partial|partiel, incomplet; (partial to) friand de|o;o
sounding|qui émet un son|o
decoration|ornement qui embellit; décoration pour bravoure|o;o
elementary|élémentaire, du premier stade; facile|o;o
scooter|scooter, motocyclette légère; trottinette|o;o
dissolve|dissoudre dans un liquide; mettre fin à|v;v
eighteen|18|o
criticize|critiquer, trouver à redire; faire la critique d'une œuvre|v;v
definite|net et certain|o
thrash|rouer de coups; s'agiter violemment|v;v
antidote|antidote contre un poison|o
tart|tarte aux fruits; (injurieux) femme habillée de façon aguichante; acide au goût|o;o;o
yelp|(cri bref de douleur)|g
metaphor|métaphore, façon de nommer une chose par une autre pour dire à quoi elle ressemble|o
lemonade|boisson sucrée au citron|o
cement|ciment, poudre grise qui durcit, utilisée en construction|o
flour|farine moulue à partir de grain|o
nypd|NYPD, la police de New York|o
advocate|plaider en faveur de; avocat qui plaide une cause|v;o
biology|biologie, étude des êtres vivants|o
dusty|couvert de poussière|o
extraterrestrial|venu d'au-delà de la Terre; être d'un autre monde|o;o
playground|cour ou aire de jeux pour enfants|o
magnet|aimant, morceau de fer qui attire le fer|o
potentially|potentiellement, si les choses évoluent ainsi|o
successfully|avec le résultat voulu|o
quantum|des plus petites unités d'énergie; changement brusque et considérable|o;o
strangely|étrangement, d'une façon difficile à expliquer|o
wrinkle|ride ou pli dans la peau ou le tissu|o
'er|(à l'oral) la, elle|o
batch|lot de choses faites ou traitées ensemble|o
bind|attacher, ligoter; tenir ensemble|v;v
handkerchief|mouchoir|o
flashlight|lampe de poche (américain)|o
authentic|authentique, vraiment ce qu'il prétend être|o
microwave|four à micro-ondes|o
disobey|désobéir|v
relay|transmettre un message; course de relais|v;o
regime|régime, système de gouvernement, surtout dur|o
housekeeper|gouvernante payée pour tenir une maison|o
outdoor|de plein air|o
permanently|définitivement, pour toujours|o
'know|(dans y'know) sais|o
translator|traducteur|o
allergy|allergie, réaction à une substance que la plupart supportent|o
pajama|(pajamas) pyjama, veste et pantalon amples pour dormir|o
self-defense|légitime défense, fait de se protéger quand on est attaqué|o
swift|très rapide|o
donut|beignet sucré en anneau (américain)|o
prescribe|prescrire un médicament ou un traitement|v
poisonous|toxique, qui peut tuer ou nuire si on l'absorbe|o
temporarily|temporairement, pour peu de temps|o
ninth|9e|o
limp|boiter à cause d'une jambe blessée; mou, sans tenue|v;o
cutter|outil pour couper; petit bateau rapide|o;o
babble|parler vite et confusément|v
lining|doublure d'un vêtement ou d'une boîte|o
hip-hop|hip-hop, musique aux paroles rimées scandées sur un rythme lourd|o
insert|insérer|v
upgrade|remplacer par mieux|v
lookout|guetteur; (on the lookout) à l'affût de|o;o
paralyze|paralyser, priver du mouvement; bloquer, mettre à l'arrêt|v;v
hospitality|hospitalité, accueil chaleureux des invités|o
broom|balai à long manche|o
memorize|apprendre par cœur|v
cozy|douillet, chaud et confortable|o
licence|licence, orthographe britannique du nom license|o
overboard|par-dessus bord, à l'eau|o
philosopher|philosophe|o
stutter|bégayer|v
juvenile|jeune, pas encore adulte; puéril|o;o
slope|pente|o
render|rendre, faire devenir; rendre en retour|v;v
baggage|bagages emportés en voyage|o
indication|signe qui indique quelque chose|o
scumbag|(vulgaire) ordure, personne méprisable|o
cabbage|chou|o
crumble|s'émietter; s'effriter peu à peu|v;v
breakthrough|percée soudaine et importante|o
stalker|personne qui en suit une autre en secret et sans relâche|o
flea|puce, petit insecte sauteur qui pique|o
retain|garder, conserver|v
gadget|petit appareil ou outil pratique|o
whilst|pendant que (britannique)|o
elaborate|élaboré, travaillé dans le détail; développer, expliquer plus en détail|o;v
unleash|déchaîner, lâcher|v
flute|flûte traversière|o
idle|à l'arrêt, qui ne fonctionne pas; paresseux; sans but, en l'air|o;o;o
maestro|maestro, grand musicien ou chef d'orchestre|o
bankrupt|en faillite, incapable de payer ses dettes|o
confiscate|confisquer en punition|v
tile|tuile ou carreau de terre cuite|o
kite|cerf-volant|o
involvement|participation à; fait d'être mêlé à|o;o
parachute|parachute|o
humiliation|humiliation devant les autres|o
solitary|solitaire, seul; qui se fait seul|o;o
wilderness|étendue sauvage et inhabitée|o
plunge|plonger, tomber d'un coup; enfoncer profondément|v;v
vietnamese|vietnamien; le vietnamien|o;o
disk|objet plat et rond; disque de données informatiques|o;o
texted|a envoyé un texto|o
toothbrush|brosse à dents|o
yummy|délicieux (familier)|o
courier|coursier qui porte colis ou messages|o
legion|légion, grande troupe de soldats; grand nombre|o;o
weekly|une fois par semaine, chaque semaine|o
briefing|réunion où l'on donne les informations|o
tighten|serrer, resserrer|v
clam|palourde, coquillage à deux valves qui se mange|o
enlighten|éclairer quelqu'un qui ne savait pas|v
currency|monnaie d'un pays|o
bathtub|baignoire|o
mild|doux, pas sévère; peu relevé; doux, en parlant du temps|o;o;o
fourteen|14|o
smuggling|contrebande, entrée clandestine de marchandises|o
chancellor|chancelier, chef d'un gouvernement ou d'une université; ministre des finances|o;o
beaver|castor, animal aux dents puissantes qui barre les cours d'eau|o
countless|innombrable|o
specialize|se spécialiser dans une branche|v
kettle|bouilloire|o
compass|boussole|o
preliminary|préliminaire, qui vient avant le principal|o
restrict|restreindre, tenir dans des limites|v
fiber|fibre, fil fin; fibres alimentaires qui aident la digestion|o;o
runaway|fugueur; devenu incontrôlable|o;o
sow|semer; truie|v;o
clapping|(bruit des mains qui applaudissent)|g
psychiatric|psychiatrique, du soin des maladies mentales|v
compensation|indemnité versée pour une perte ou un dommage|o
roughly|environ, à peu près; brutalement|o;o
snuck|s'est faufilé, passé de sneak|o
yawn|bâiller|v
arch|arche au-dessus d'une ouverture; arquer, cambrer|o;v
diver|plongeur|o
environmental|de l'environnement naturel|v
mam|maman (dialecte britannique)|o
preach|prêcher, faire un sermon; prôner la vertu|v;v
beacon|feu ou balise servant de signal ou de repère|o
diplomatic|diplomatique, des relations entre pays; plein de tact|v;o
loading|chargement|o
psychopath|psychopathe, personne sans conscience morale, parfois violente|o
reef|récif de roche ou de corail près de la surface|o
spade|bêche à lame plate|o
context|contexte, mots qui entourent un passage; cadre qui donne le sens|o;o
stereo|chaîne stéréo à deux enceintes|o
banish|bannir d'un pays en punition|v
enchant|enchanter, charmer vivement; ensorceler|v;v
whinny|(hennissement doux d'un cheval)|g
nuisance|personne ou chose qui agace|o
terrorism|terrorisme, violence à des fins politiques|o
ungrateful|ingrat|o
neutral|neutre, qui ne prend pas parti; neutre, sans caractère marqué|o;o
workin|en train de travailler (orthographe familière de working)|o
presidential|présidentiel|o
pastry|pâte de farine et de matière grasse; pâtisserie, petit gâteau|o;o
revelation|révélation surprenante; révélation d'une vérité divine|o;o
surprisingly|étonnamment|o
automatically|automatiquement, tout seul; machinalement|o;o
diagnose|diagnostiquer une maladie ou une panne|v
gasoline|essence (américain)|o
cockroach|cafard, gros insecte brun des lieux sales|o
convent|couvent où vivent des religieuses|o
component|composant d'une machine ou d'un système|o
artifact|objet fabriqué, surtout ancien|o
meth|méthamphétamine, stimulant illégal puissant|o
youngster|jeune|o
ifyou|(faute pour "if you") si tu, si vous|o
capsule|gélule de médicament; capsule d'un vaisseau spatial|o;o
denial|démenti, fait de nier; refus d'accorder|o;o
metro|métro d'une ville|o
comparison|comparaison|o
blackout|coupure de courant ou d'éclairage; perte de mémoire ou de connaissance|o;o
neigh|(hennissement prolongé d'un cheval)|g
allowance|somme versée régulièrement; quantité autorisée|o;o
gutter|caniveau ou gouttière pour l'eau|o
slavery|esclavage, fait de posséder des personnes; travail dur et non payé|o;o
console|consoler quelqu'un dans le chagrin; console de commandes|v;o
coverage|couverture médiatique; étendue couverte|o;o
pry|fourrer son nez dans ce qui ne le regarde pas; forcer pour ouvrir|v;v
specially|spécialement, dans un but précis|o
superstar|vedette très célèbre|o
warmer|moins froid; appareil qui tient au chaud|o;o
chunk|gros morceau|o
frontier|frontière entre pays; limite du connu|o;o
holler|crier fort (américain)|v
daughter-in-law|belle-fille, femme du fils|o
ammo|munitions (familier)|o
typing|saisie au clavier|o
patriot|patriote|o
debris|débris éparpillés après un dommage|o
eyewitness|témoin oculaire|o
hamlet|hameau|o
intervention|intervention pour changer le cours des choses|o
protector|protecteur|o
disturbance|trouble de l'ordre public; perturbation|o;o
quack|(cri bref et rauque du canard); charlatan qui se fait passer pour médecin|g;o
rewrite|réécrire autrement|v
harassment|harcèlement|o
curl|boucler, enrouler; boucle de cheveux|v;o
missus|femme, épouse (familier); (pour s'adresser à une femme)|o;g
monitoring|surveillance suivie dans le temps|o
inventory|inventaire complet du stock|o
hassle|tracas et embêtements; embêter|o;v
enhance|améliorer, renforcer|v
hacker|pirate informatique|o
govern|gouverner un pays; maîtriser|v;v
long-term|à long terme|o
serum|sérum, partie liquide du sang; sérum thérapeutique|o;o
vile|infâme, répugnant|o
imaginary|imaginaire|o
mosque|mosquée|o
artillery|artillerie, canons lourds; l'arme qui les sert|o;o
hypocrite|hypocrite|o
disc|objet plat et rond; disque ou CD|o;o
exceptional|exceptionnel, bien meilleur que d'ordinaire; hors du commun|o;o
irony|ironie, fait de dire le contraire de ce qu'on pense; ironie du sort|o;o
reactor|réacteur nucléaire|o
bikini|bikini, maillot de bain deux-pièces|o
humour|humour, orthographe britannique de humor|o
parlor|salon; boutique offrant un service à la personne|o;o
pharaoh|pharaon|o
chimney|cheminée qui évacue la fumée|o
cadet|élève officier ou aspirant policier|o
suppress|réprimer par la force; étouffer, empêcher de s'ébruiter|v;v
handicap|handicap qui rend la vie ou une tâche plus difficile|o
iet|(faute pour let) laisser|o
pr|PR, relations publiques, travail d'image|o
moo|(meuglement de la vache)|g
bliss|bonheur parfait|o
equip|équiper de ce qu'il faut|v
banquet|banquet, grand dîner officiel|o
dungeon|cachot souterrain|o
outrage|acte scandaleux qui révolte; indignation|o;o
shameless|éhonté, sans honte de mal agir|o
meteor|météore, roche qui brûle en entrant dans l'atmosphère|o
ballistic|balistique, des missiles en vol; (go ballistic) sortir de ses gonds|o;v
harness|harnais d'un cheval ou d'un ouvrier; exploiter, mettre à profit|o;v
turf|gazon avec sa couche de racines|o
vulture|vautour|o
duh|(pour souligner une évidence)|g
fingernail|ongle|o
wrath|courroux, grande colère|o
jurisdiction|pouvoir d'appliquer la loi; ressort où il s'exerce|o;o
attendant|employé chargé de servir ou de veiller|o
regional|régional|o
peacefully|paisiblement, sans violence|o
filing|classement des papiers|o
stern|sévère et strict; poupe du navire|o;o
dearly|beaucoup, tendrement; chèrement, au prix fort|o;o
pharmacy|pharmacie|o
worldwide|dans le monde entier|o
rite|rite, forme réglée d'une cérémonie religieuse|o
manuscript|manuscrit écrit à la main; texte de l'auteur avant impression|o;o
underworld|milieu du crime organisé; séjour des morts dans les récits anciens|o;o
cackle|(rire rauque et saccadé)|g
curly|bouclé, frisé|o
performer|artiste qui joue, chante ou danse devant un public|o
bidding|ordre qu'on vous donne; enchères à une vente|o;o
hallucination|hallucination, fait de voir ou d'entendre ce qui n'existe pas|o
oppa|(coréen) grand frère, dit par une femme|o
pentagon|pentagone, figure à cinq côtés; (the Pentagon) siège de la défense américaine|o;o
scorpion|scorpion, petit animal du désert au dard caudal|o
squat|s'accroupir; squatter, occuper un local vide sans droit|v;v
contempt|mépris, sentiment que quelqu'un ne vaut rien|o
formality|formalité qu'on accomplit parce que la règle l'exige; raideur guindée|o;o
altitude|altitude au-dessus du niveau de la mer|o
royalty|la famille royale; droits d'auteur|o;o
vaccine|vaccin qui protège d'une maladie|o
psst|(son pour attirer discrètement l'attention)|g
allegation|accusation portée sans preuve|o
eyeball|globe oculaire|o
builder|constructeur, entrepreneur en bâtiment|o
cathedral|cathédrale, église principale d'un diocèse|o
inspect|inspecter, examiner de près|v
relatively|relativement, assez|o
scope|étendue d'un sujet ou d'une tâche; marge de manœuvre|o;o
supernatural|surnaturel, des fantômes et de la magie|o
manifest|manifester, montrer clairement; manifeste, évident|v;o
coyote|coyote, animal sauvage nord-américain proche du loup|o
spook|fantôme (familier); faire peur à|o;v
taco|taco, galette mexicaine pliée et garnie|o
burglary|cambriolage|o
leopard|léopard|o
merchandise|marchandises en vente|o
slippery|glissant; peu fiable, à qui l'on ne peut se fier|o;o
duchess|duchesse, femme d'un duc; femme de ce rang|o;o
gulf|golfe; fossé profond entre deux camps|o;o
founder|fondateur d'une entreprise ou d'une institution; sombrer, échouer|o;v
numerous|nombreux (soutenu)|o
numb|engourdi, sans sensation|o
fiance|fiancé|o
invincible|invincible|o
brazilian|brésilien|o
cafeteria|cafétéria en libre-service|o
sane|sain d'esprit; sensé|o;o
litter|détritus laissés par terre; portée de jeunes animaux|o;o
radius|rayon d'un cercle|o
convey|transporter; faire passer une idée|v;v
leftover|reste d'un repas; restant|o;o
keyboard|clavier d'ordinateur ou de piano|o
bbc|BBC, la radiotélévision britannique|o
hull|coque d'un navire; enveloppe d'une graine|o;o
raft|radeau|o
moose|orignal, grand cerf d'Amérique du Nord aux bois larges|o
caress|caresser doucement et tendrement|v
scroll|rouleau de parchemin; faire défiler un texte à l'écran|o;v
mercury|mercure, métal liquide argenté; Mercure, planète la plus proche du Soleil|o;o
revive|faire revivre, remettre en usage|v
gracias|(espagnol) merci|o
coral|corail, matière dure bâtie par de petits animaux marins|o
gallon|gallon, mesure de liquide d'environ 4,5 litres|o
newly|récemment, tout juste|o
accessory|accessoire ajouté; complice d'un crime|o;o
impatient|impatient|o
quiz|questionnaire posé comme jeu ou comme test|o
prevail|l'emporter finalement; être répandu|v;v
ignorance|ignorance, fait de ne pas savoir; manque de connaissances|o;o
hippie|hippie, marginal des années 1960|o
civilized|civilisé, à la vie développée et humaine|o
margarita|margarita, cocktail de tequila et de citron vert|o
mend|réparer; se remettre d'une maladie|v;v
distribution|distribution entre beaucoup; répartition|o;o
upload|téléverser un fichier sur internet|v
ark|(Noah's ark) arche de Noé dans la Bible; arche contenant les textes sacrés|o;o
transmitter|émetteur de signaux|o
voiceover|voix off dans un film|o
falcon|faucon dressé pour la chasse|o
remedy|remède contre une maladie; moyen de réparer un tort|o;o
unbearable|insupportable|o
brute|brute, homme cruel et violent; bête|o;o
eerie|inquiétant, étrangement effrayant|o
juicy|juteux; croustillant, plein de ragots|o;o
mwah|(bruit d'un baiser)|g
freaky|bizarre et troublant (familier)|o
merge|fusionner|v
unpack|défaire ses bagages|v
pact|pacte, accord formel entre deux parties|o
apparent|apparent, facile à voir; apparent, peut-être trompeur|o;o
feelin|en train de ressentir (orthographe familière de feeling)|o
rep|représentant (familier)|o
devour|dévorer; dévorer, absorber avidement|v;v
grim|sinistre et sévère; très mauvais|o;o
medieval|médiéval|o
plumb|sonder la profondeur de; en plein, tout à fait (familier)|v;o
stimulate|stimuler, pousser à agir; activer|v;v
patent|brevet donnant l'exclusivité d'une invention; patent, manifeste|o;o
screenplay|scénario de film|o
sentiment|sentiment ou opinion; sentimentalité, tendresse|o;o
