# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
confinement|encierro, reclusión; confinamiento|o;o
continual|continuo, constante|o
cucumber|pepino|o
electrification|electrificación|o
emphasise|enfatizar, subrayar|v
fait|fait accompli: hecho consumado|n
fermentation|fermentación|o
ferocious|feroz|o
flunk|reprobar, tronar (un examen) (coloquial)|v
freckle|peca|o
guberniya|gobernación, provincia de la Rusia imperial|o
guise|apariencia, forma; disfraz|o;o
harmonic|armónico; armónico (sobretono)|o;o
harp|arpa; harp on: machacar, insistir sobre|o;n
hazy|brumoso, neblinoso; vago, confuso|o;o
hepatitis|hepatitis|o
horde|horda, multitud|o
hospitalize|hospitalizar|v
identifier|identificador|o
impart|transmitir, impartir|v
implausible|inverosímil, poco creíble|o
ingrained|arraigado|o
internationalist|internacionalista|o
jug|jarra|o
leech|sanguijuela; aprovechado, parásito|o;o
lull|pausa, calma; arrullar, calmar|o;v
madly|locamente, como loco; extremadamente|o;o
millimetre|milímetro|o
mixtape|recopilación de canciones|o
namesake|tocayo, homónimo|o
ordain|ordenar (sacerdote); decretar, disponer|v;v
outcry|protesta, clamor público|o
outstrip|superar, aventajar|v
psychoanalysis|psicoanálisis|o
psychotherapy|psicoterapia|o
puddle|charco|o
punter|cliente (coloquial); apostador|o;o
rationality|racionalidad|o
reciprocate|corresponder|v
reorganization|reorganización, reestructuración|o
retake|volver a tomar, repetir; recuperar, reconquistar|v;v
rinse|enjuagar|v
simmer|hervir a fuego lento; bullir (de rabia)|v;v
skim|leer por encima, hojear; desnatar, espumar; rozar, pasar rozando|v;v;v
sleeper|durmiente; durmiente (de vía férrea); tren con camas; agente encubierto|o;o;o;o
sodding|maldito (coloquial)|o
southernmost|más austral, más al sur|o
spec|especificación (coloquial); on spec: sin garantía, por si acaso|o;n
statutory|legal, reglamentario|o
steppe|estepa|o
stratum|estrato, capa|o
striving|esfuerzo, empeño|o
subfamily|subfamilia|o
symbolism|simbolismo|o
termination|terminación, fin; despido|o;o
tripe|mondongo, callos; tonterías (coloquial)|o;o
unequivocal|inequívoco, claro|o
upstream|río arriba; en una etapa anterior|o;o
vitally|esencialmente, crucialmente|o
whim|capricho, antojo|o
zeal|celo, fervor|o
abolitionist|abolicionista|o
accursed|maldito; odioso|o;o
adventurous|aventurero, audaz|o
agile|ágil|o
agnostic|agnóstico; sin postura definida|o;o
analyse|analizar|v
annals|anales|o
ardent|ardiente, ferviente|o
aristocrat|aristócrata|o
auspice|under the auspices of: bajo los auspicios de, con el apoyo de|n
bask|disfrutar del calor, tomar el sol; deleitarse (con la atención)|v;v
benzene|benceno|o
bodily|corporal, físico; a la fuerza, en volandas|o;o
brinkmanship|política de riesgo extremo, llevar el peligro al límite para ganar|o
byproduct|subproducto|o
cannibal|caníbal|o
circuitry|circuitos, sistema de circuitos|o
coerce|coaccionar, presionar|v
culinary|culinario|o
decarbonize|descarbonizar|v
degenerate|degenerar, deteriorarse; degenerado|v;o
delicately|con delicadeza, suavemente; con tacto|o;o
despatch|despachar, enviar; despacho, informe|v;o
disaffected|descontento, desafecto|o
drainage|drenaje, desagüe|o
elitist|elitista|o
exceptionalism|excepcionalismo|o
fathom|comprender, desentrañar; braza (medida de profundidad)|v;o
fauna|fauna|o
fir|abeto|o
foie|foie gras: foie gras, hígado cebado de pato u oca|n
fulfillment|satisfacción, realización; cumplimiento|o;o
gauze|gasa|o
gild|dorar|v
gras|foie gras: foie gras, hígado cebado de pato u oca; Mardi Gras: carnaval antes de la Cuaresma|n;n
harbinger|presagio, precursor|o
harrow|grada (apero de labranza); angustiar (en general harrowing)|o;v
hateful|lleno de odio; odioso|o;o
heartbreaking|desgarrador, muy triste|o
hoe|azada; prostituta (vulgar, = whore)|o;o
horribly|horriblemente, terriblemente|o
innumerable|innumerable|o
intake|consumo, ingesta; grupo de ingreso|o;o
jeer|abuchear, burlarse a gritos|v
kayak|kayak|o
krauts|término despectivo para los alemanes (coloquial)|o
liquidate|liquidar (una empresa); liquidar, matar|v;v
locket|relicario, medallón|o
meridian|meridiano; cenit, punto culminante|o;o
micron|micra, micrón|o
microscopy|microscopía|o
mirth|alegría, regocijo|o
mishap|percance, contratiempo|o
modular|modular|o
molar|muela, molar|o
monograph|monografía|o
nectar|néctar|o
nerdy|nerd, ñoño (coloquial)|o
neurologist|neurólogo|o
numeric|numérico|o
occupational|laboral, ocupacional|o
overt|manifiesto, abierto|o
peacekeeper|miembro de una fuerza de paz, casco azul|o
periscope|periscopio|o
pernicious|pernicioso, dañino|o
petrify|aterrorizar, dejar helado; petrificar|v;v
pluralist|pluralista|o
presumption|suposición, presunción; arrogancia, atrevimiento|o;o
pronged|con puntas, con dientes; two-pronged: doble, con dos frentes|o;n
quintet|quinteto|o
ramification|consecuencia, ramificación|o
recurrence|reaparición, recurrencia|o
reminisce|rememorar, recordar el pasado|v
responder|persona que responde; first responder: personal de primera respuesta, socorrista|o;n
rouble|rublo|o
runoff|escorrentía; segunda vuelta electoral|o;o
satyr|sátiro; sátiro (hombre lujurioso)|o;o
secrete|secretar, segregar; esconder, ocultar|v;v
shadowy|oscuro, sombrío; misterioso, turbio|o;o
shyster|picapleitos, estafador (coloquial)|o
silo|silo; silo (de misiles); compartimento aislado|o;o;o
smite|golpear con fuerza|v
sweatpants|pants, pantalón de buzo|o
tether|correa, cuerda; atar, amarrar|o;v
transformer|transformador|o
tunic|túnica|o
unaffordable|inasequible, demasiado caro|o
vigor|vigor, energía|o
vinculum|vínculo (barra sobre números, matemáticas)|o
virulent|virulento (enfermedad); virulento, hostil|o;o
wellness|bienestar, salud|o
wildfire|incendio forestal; like wildfire: como reguero de pólvora|o;n
actuator|actuador|o
adieu|adiós|o
bedrock|lecho rocoso, roca madre; fundamento, base|o;o
blower|soplador, ventilador; teléfono (coloquial)|o;o
bony|huesudo, flaco; lleno de espinas, con muchos huesos|o;o
bookstore|librería|o
buzzard|busardo, aguilucho|o
cartridge|cartucho|o
centralization|centralización|o
charcoal|carbón vegetal; gris oscuro|o;o
clergyman|clérigo, sacerdote, pastor|o
clitoris|clítoris|o
complicit|cómplice|o
contort|contorsionar, retorcer|v
convolution|complejidad, enredo; convolución (matemáticas)|o;o
cork|corcho (material); corcho, tapón|o;o
curvature|curvatura|o
deject|desanimar, abatir (en general dejected)|v
detriment|perjuicio, detrimento|o
dictatorial|dictatorial, autoritario|o
dojo|dojo, sala de artes marciales|o
eject|expulsar, echar; eyectar, sacar a la fuerza|v;v
envious|envidioso|o
evenly|uniformemente, equitativamente|o
eyelash|pestaña|o
ferret|hurón; ferret out: descubrir, sacar a la luz|o;n
fluorine|flúor|o
foliage|follaje|o
gat|pistola, fierro (coloquial)|o
graft|injerto; corrupción; trabajo duro (coloquial)|o;o;o
grate|rallar; irritar, crispar; parrilla de chimenea|v;v;o
ideologues|ideólogos, plural de ideologue|o
imaginative|imaginativo, creativo|o
iterate|iterar, repetir|v
jihadi|yihadista|o
kosher|kosher; legítimo, en regla (coloquial)|o;o
legalize|legalizar|v
lighthouse|faro|o
limitless|ilimitado, sin límites|o
medalist|medallista|o
mockery|burla, escarnio; farsa, parodia|o;o
modernism|modernismo|o
overfishing|sobrepesca|o
pear|pera|o
piranha|piraña|o
plunder|saquear; botín|v;o
programmable|programable|o
psychoanalyst|psicoanalista|o
purity|pureza; inocencia|o;o
recapitalize|recapitalizar|v
resin|resina|o
saxophonist|saxofonista|o
scenic|pintoresco, panorámico|o
scribe|escriba; escritor|o;o
sewage|aguas residuales|o
shrewd|astuto, sagaz|o
spreadsheet|hoja de cálculo|o
steamboat|barco de vapor|o
stewardess|azafata, aeromoza|o
sulfide|sulfuro|o
transcribe|transcribir|v
transporter|transportador|o
undefined|indefinido, no definido|o
unhappily|tristemente, con infelicidad; desafortunadamente|o;o
unlawful|ilegal, ilícito|o
untold|incalculable, innumerable; nunca contado, inédito|o;o
vascular|vascular|o
vocalize|expresar, verbalizar|v
walkable|transitable a pie, caminable|o
yurt|yurta|o
abandonment|abandono|o
advertiser|anunciante|o
airspace|espacio aéreo|o
algorithmic|algorítmico|o
angiogenesis|angiogénesis|o
annualized|anualizado|o
antler|asta, cuerno de ciervo|o
aperture|abertura, apertura|o
ascension|ascenso; ascensión (al cielo)|o;o
biopsy|biopsia|o
brilliance|brillo, resplandor; genialidad, brillantez|o;o
camouflage|camuflaje|o
centrality|centralidad, importancia|o
chemo|quimio (coloquial)|o
clandestine|clandestino, secreto|o
commonplace|común, corriente|o
crumple|arrugar, estrujar; desplomarse|v;v
dainty|delicado, fino|o
detest|detestar, odiar|v
doorkeeper|portero|o
downwards|hacia abajo|o
engender|engendrar, provocar|v
engrave|grabar|v
enjoyable|agradable, ameno|o
entirety|totalidad|o
epithet|epíteto; insulto|o;o
fabricate|inventar (mentiras); fabricar|v;v
filmography|filmografía|o
fraudulent|fraudulento|o
gentlewoman|dama de buena familia|o
grandeur|grandeza, esplendor|o
headway|avance, progreso; make headway: avanzar, progresar|o;n
heartache|pena, dolor|o
homelessness|situación de calle, falta de vivienda|o
hydroelectric|hidroeléctrico|o
immersive|inmersivo|o
indent|sangrar (un texto); pedido oficial de mercancías|v;o
inflammatory|incendiario, provocador; inflamatorio|o;o
insta|Instagram (coloquial)|o
intergenerational|intergeneracional|o
joblessness|desempleo|o
livery|librea; colores corporativos|o;o
lustful|lujurioso, lascivo|o
magenta|magenta|o
magnate|magnate|o
maple|arce|o
mayhem|caos, desorden|o
meticulously|meticulosamente|o
midfielder|mediocampista, volante|o
monologue|monólogo|o
muddy|embarrado, lleno de barro; turbio, confuso|o;o
narcissistic|narcisista|o
nibble|mordisquear; mordisco, bocadito|v;o
nightfall|anochecer|o
northernmost|más septentrional, más al norte|o
oceanic|oceánico|o
offline|sin conexión; en persona, presencial|o;o
ordinance|ordenanza|o
oval|ovalado|o
overcoat|abrigo, sobretodo|o
oversized|de gran tamaño, extragrande|o
overweight|con sobrepeso|o
piecemeal|poco a poco, por partes|o
pong|peste, mal olor (coloquial); ping-pong, tenis de mesa|o;o
prairie|pradera|o
predominant|predominante|o
preparatory|preparatorio, preliminar|o
profusely|profusamente, abundantemente|o
qua|en calidad de, como|o
quotation|cita; presupuesto, cotización|o;o
rabies|rabia|o
reciprocity|reciprocidad|o
rector|párroco; rector|o;o
reparation|reparación, indemnización (en general reparations)|o
reprogram|reprogramar|v
repulse|repugnar; repeler, rechazar|v;v
residue|residuo, resto|o
resurrect|resucitar|v
retribution|castigo, represalia|o
reverie|ensueño, ensoñación|o
rework|reelaborar, revisar|v
sarcophagus|sarcófago|o
secularist|laicista|o
sensual|sensual|o
silky|sedoso|o
slang|jerga, argot|o
southward|hacia el sur|o
spindle|huso; eje|o;o
subtraction|resta, sustracción|o
summons|citación, emplazamiento|o
thorium|torio|o
timeless|atemporal, eterno|o
tot|niño pequeño; traguito; tot up: sumar|o;o;n
travail|penuria, esfuerzo penoso|o
tuft|mechón, mata (de pelo, pasto)|o
undisclosed|no revelado, confidencial|o
unforeseen|imprevisto|o
unpublished|inédito, no publicado|o
vertically|verticalmente|o
vigilant|atento, vigilante|o
vividly|vívidamente, con claridad|o
abundantly|abundantemente; abundantly clear: clarísimo|o;n
affine|afín (matemáticas)|o
ascribe|atribuir (a)|v
assail|atacar, asaltar|v
bandleader|director de banda|o
battleground|campo de batalla|o
boldness|audacia, osadía|o
companionship|compañía, compañerismo|o
crossbow|ballesta|o
customary|habitual, acostumbrado|o
cylindrical|cilíndrico|o
desirous|deseoso|o
despot|déspota, tirano|o
deuce|dos (en naipes o dados); iguales, empate a 40 (tenis); diablo (coloquial)|o;o;o
dictum|sentencia, dictamen|o
dis|faltar el respeto, insultar (coloquial)|v
dismissal|despido; rechazo, desestimación|o;o
dither|titubear, vacilar|v
downfall|caída, ruina|o
dweller|habitante, morador|o
earmark|destinar, asignar (a un fin)|v
exaggeration|exageración|o
externally|externamente, por fuera|o
fascination|fascinación|o
gambit|táctica, estratagema|o
goddam|maldito (coloquial)|o
gymnasium|gimnasio|o
hazardous|peligroso|o
hydropower|energía hidroeléctrica|o
impregnate|embarazar, fecundar; impregnar, empapar|v;v
inadequacy|insuficiencia; sentimiento de inferioridad|o;o
incitement|incitación|o
indefinite|indefinido, sin plazo fijo; vago, impreciso|o;o
insolent|insolente|o
intermediation|intermediación|o
intrusion|intromisión, intrusión|o
logically|lógicamente|o
maize|maíz|o
marital|conyugal, matrimonial|o
meself|yo mismo (coloquial, = myself)|o
minivan|minivan, monovolumen|o
motherhood|maternidad|o
necessitate|requerir, hacer necesario|v
negate|anular, contrarrestar; negar|v;v
nostalgic|nostálgico|o
passer|passer-by: transeúnte; pasador (deporte)|n;o
patriarchal|patriarcal|o
perpetrate|perpetrar, cometer|v
pester|fastidiar, dar la lata|v
plough|arado; arar|o;v
polluter|contaminador|o
posit|postular, plantear|v
quill|pluma (para escribir); púa (de puercoespín)|o;o
raisin|pasa|o
rescind|rescindir, anular|v
retell|volver a contar|v
revaluation|revalorización, revaluación|o
salvage|rescatar, salvar; salvamento|v;o
secessionist|secesionista|o
securitization|titulización|o
smother|asfixiar, sofocar; cubrir, bañar|v;v
spank|dar nalgadas|v
strikingly|notablemente, llamativamente|o
supremacist|supremacista|o
throttle|estrangular; acelerador, válvula reguladora|v;o
toothless|desdentado; sin fuerza, inoperante|o;o
unanimity|unanimidad|o
undue|excesivo, indebido|o
uneasily|con inquietud|o
unfazed|imperturbable, sin inmutarse|o
unheard|no oído, desoído; unheard of: inaudito, sin precedentes|o;n
usefulness|utilidad|o
widowed|viudo|o
adaptability|adaptabilidad|o
adoration|adoración|o
aforementioned|mencionado, susodicho|o
allusion|alusión|o
apex|cima, cúspide|o
apparition|aparición, fantasma|o
assent|consentimiento, aprobación; asentir, consentir|o;v
auspicious|propicio, prometedor|o
bibliographic|bibliográfico|o
biotech|biotecnología|o
bleach|cloro, lejía; blanquear|o;v
blindly|a ciegas; ciegamente, sin pensar|o;o
boiler|caldera|o
bombardment|bombardeo|o
burrow|madriguera; excavar|o;v
centenary|centenario|o
centigrade|centígrado|o
churn|agitar, revolver; mantequera; pérdida de clientes (negocios)|v;o;o
clog|atascar, obstruir; zueco|v;o
codon|codón|o
comparatively|comparativamente, relativamente|o
compulsive|irresistible; compulsivo|o;o
condense|condensar, resumir; condensar (de gas a líquido)|v;v
congenital|congénito|o
consign|enviar, consignar; entregar, confiar|v;v
contractionary|contractivo|o
cookbook|libro de cocina, recetario|o
counterintelligence|contraespionaje, contrainteligencia|o
courteous|cortés, educado|o
cowardly|cobarde|o
crotch|entrepierna|o
decipher|descifrar|v
deign|dignarse (a)|v
densely|densamente|o
devoid|devoid of: desprovisto de, carente de|n
differentiation|diferenciación, distinción; diferenciación|o;o
druggist|farmacéutico, boticario|o
enigmatic|enigmático|o
entwine|entrelazar|v
epitope|epítopo|o
excitable|excitable, nervioso|o
fetal|fetal; fetal position: posición fetal|o;n
finder|descubridor|o
flex|flexionar (un músculo); presumir, alardear (coloquial)|v;v
fmri|resonancia magnética funcional|o
foreclosure|ejecución hipotecaria|o
freestyle|libre, sin reglas fijas; estilo libre, crol|o;o
fundraising|recaudación de fondos|o
ghastly|espantoso, horrible|o
glossy|brillante, satinado|o
goosebumps|piel de gallina|o
groundbreaking|innovador, pionero|o
heartbreak|desengaño, gran pena|o
idealism|idealismo|o
incorrectly|incorrectamente|o
indescribable|indescriptible|o
inexplicably|inexplicablemente|o
infancy|infancia; etapa inicial|o;o
infertility|infertilidad, esterilidad|o
informer|informante, soplón|o
intransigence|intransigencia|o
joyfully|alegremente|o
lactose|lactosa|o
locust|langosta, chapulín|o
mango|mango|o
miraculous|milagroso|o
monopolize|monopolizar, acaparar|v
naught|nada; come to naught: fracasar, quedar en nada|o;n
nil|nada, cero|o
normalcy|normalidad|o
obstruction|obstrucción, bloqueo|o
pager|localizador, bíper|o
participatory|participativo|o
peddle|vender de puerta en puerta; promover, difundir (ideas)|v;v
pediatrician|pediatra|o
pelvic|pélvico|o
perfectionism|perfeccionismo|o
pisco|pisco, aguardiente peruano|o
predictor|predictor, indicador|o
psychoanalytic|psicoanalítico|o
rapture|éxtasis, arrebato|o
reimagine|replantear, reinventar|v
relaxation|relajación, descanso|o
scurry|corretear, escabullirse|v
sender|remitente|o
shipbuilding|construcción naval|o
sorrowful|afligido, triste|o
spanking|nalgadas, azotes; flamante (coloquial)|o;o
spire|aguja (de una torre), chapitel|o
statistician|estadístico|o
stylistic|estilístico|o
subdivide|subdividir|v
sulfur|azufre|o
supermassive|supermasivo (agujero negro)|o
superstition|superstición|o
talker|conversador, hablador|o
teacup|taza de té|o
telepaths|telépatas, plural de telepath|o
tinge|matiz, dejo|o
twig|ramita|o
unelected|no electo|o
wanderer|trotamundos, vagabundo|o
wop|término despectivo para un italiano (coloquial)|o
abet|instigar, ser cómplice de (un delito)|v
anatomical|anatómico|o
anecdote|anécdota|o
artisan|artesano|o
bigotry|intolerancia, fanatismo|o
biochemistry|bioquímica|o
blizzard|ventisca, tormenta de nieve|o
blogging|escribir un blog, bloguear|o
bluster|bravuconería, fanfarronada; fanfarronear, bravuconear|o;v
bulwark|baluarte, muralla; protección, defensa|o;o
bystander|transeúnte, espectador|o
centrally|en el centro, centralmente|o
coffer|cofre (en general coffers: fondos, arcas)|o
collusion|colusión, connivencia|o
conspicuous|llamativo, visible|o
contra|contra, en contra de|o
corporatism|corporativismo|o
corporatist|corporativista|o
counterbalance|contrarrestar, compensar|v
digestive|digestivo|o
digitalization|digitalización|o
dislocate|dislocar; trastornar, desbaratar|v;v
dreary|monótono, lúgubre|o
eloquence|elocuencia|o
emotionless|sin emoción, impasible|o
encroachment|intrusión, invasión|o
entice|tentar, atraer|v
everlasting|eterno, perpetuo|o
experimenter|experimentador|o
extortion|extorsión|o
fiend|demonio; fanático (coloquial)|o;o
firepower|potencia de fuego|o
fluoride|fluoruro|o
foothold|punto de apoyo, posición firme|o
gander|ganso (macho); vistazo, ojeada (coloquial)|o;o
gel|gel; cuajar, consolidarse|o;v
giddy|mareado; eufórico, entusiasmado|o;o
hake|merluza|o
header|encabezado; cabezazo (fútbol)|o;o
heavyweight|peso pesado (boxeo); peso pesado, persona importante|o;o
heiress|heredera|o
hormonal|hormonal|o
humid|húmedo, bochornoso|o
impedance|impedancia|o
imperfection|imperfección, defecto|o
impossibility|imposibilidad|o
inescapable|ineludible, inevitable|o
insurrection|insurrección, levantamiento|o
interconnectedness|interconexión|o
involuntary|involuntario|o
lexicon|léxico, vocabulario|o
libertarian|libertario|o
lowdown|los detalles, la información (coloquial); ruin, vil|o;o
marshmallow|malvavisco, bombón|o
mediator|mediador|o
medley|popurrí, mezcla|o
migraine|migraña, jaqueca|o
milkshake|batido, licuado, malteada|o
misrule|desgobierno|o
moderator|moderador; moderador (de un foro)|o;o
nutritious|nutritivo|o
omission|omisión|o
organist|organista|o
overture|obertura; primer acercamiento, propuesta|o;o
passively|pasivamente|o
payer|pagador|o
pebble|guijarro, piedrita|o
penitentiary|penitenciaría, cárcel|o
pic|foto (coloquial)|o
possessive|posesivo, celoso; posesivo (gramática)|o;o
predicate|predicado; basar, fundamentar (en)|o;v
preemptive|preventivo|o
preoccupation|preocupación, obsesión|o
preschool|preescolar, jardín de infantes|o
propeller|hélice|o
protrude|sobresalir|v
radicalize|radicalizar|v
reactive|reactivo, que reacciona en vez de anticiparse; reactivo (químicamente)|o;o
reassuringly|de manera tranquilizadora|o
reborn|renacido; renovado|o;o
redouble|redoblar (esfuerzos)|v
redundancy|despido; redundancia, repetición innecesaria|o;o
redundant|superfluo, innecesario; despedido|o;o
repel|repeler, rechazar; repugnar|v;v
rhino|rinoceronte|o
skillfully|hábilmente, con destreza|o
slander|calumnia, difamación; calumniar, difamar|o;v
snowfall|nevada|o
stagflation|estanflación|o
stepmother|madrastra|o
stupidly|estúpidamente, tontamente|o
swerve|virar bruscamente, dar un volantazo|v
taxon|taxón|o
theoretically|teóricamente, en teoría|o
totalitarianism|totalitarismo|o
traumatize|traumatizar|v
triangular|triangular|o
trilateral|trilateral|o
trolley|carrito; tranvía|o;o
trudge|caminar penosamente, arrastrar los pies|v
uhhh|eee, ehh (sonido de duda)|o
understate|minimizar, restar importancia|v
unfounded|infundado|o
unpredictability|imprevisibilidad|o
unused|sin usar|o
varicella|varicela|o
absorption|absorción; concentración, ensimismamiento|o;o
aggie|estudiante de una escuela de agronomía (coloquial)|o
angelic|angelical|o
assuage|aliviar, mitigar (dolor, culpa)|v
attribution|atribución, crédito a la fuente|o
backslide|recaer, volver a las andadas|v
barrage|bombardeo, andanada; aluvión (de preguntas)|o;o
baton|batuta, testigo, bastón policial|o
caricature|caricatura|o
crease|pliegue, arruga; arrugar|o;v
discord|discordia, desacuerdo; disonancia|o;o
dishonour|deshonra|o
ecstatic|eufórico, extasiado|o
emancipation|emancipación, liberación|o
enforceable|exigible, aplicable|o
fintech|tecnología financiera, fintech|o
harem|harén (aposentos de mujeres); harén (esposas de un hombre)|o;o
headscarf|pañuelo para la cabeza|o
incorporation|incorporación, inclusión; constitución de una sociedad|o;o
indiscriminate|indiscriminado|o
instrumentation|instrumental, instrumentos; instrumentación, orquestación|o;o
interracial|interracial|o
ladle|cucharón|o
lowland|tierras bajas|o
manipulator|manipulador|o
milord|milord, mi señor (tratamiento)|o
misstep|error, paso en falso|o
normality|normalidad|o
normative|normativo|o
outing|excursión, salida; revelación de la orientación sexual de alguien|o;o
pariah|paria|o
petticoat|enagua|o
resolutely|resueltamente, con firmeza|o
roadblock|control de carretera, barricada; obstáculo|o;o
sari|sari|o
shard|fragmento, esquirla|o
sterile|estéril (que no se reproduce); estéril, esterilizado|o;o
topical|de actualidad; tópico, de uso externo|o;o
wallpaper|papel tapiz, papel pintado|o
wean|destetar; wean off: quitar poco a poco (un hábito)|v;n
wreath|corona (de flores u hojas)|o
accentuate|acentuar, resaltar|v
acidification|acidificación|o
acrobat|acróbata|o
adept|hábil, experto|o
adios|adiós (coloquial)|o
adjoin|lindar con, colindar|v
adultery|adulterio|o
airliner|avión de pasajeros|o
amenable|dispuesto, receptivo|o
anonymity|anonimato|o
arepa|arepa|o
arousal|excitación|o
arranger|arreglista|o
atoll|atolón|o
atrium|atrio, vestíbulo central; aurícula|o;o
axial|axial|o
benevolent|benévolo, bondadoso|o
blockhead|zopenco, tonto|o
bombard|bombardear|v
breathlessly|sin aliento, jadeando; con entusiasmo, emocionadamente|o;o
capillary|capilar|o
carton|caja de cartón, cartón|o
caterpillar|oruga|o
clinically|clínicamente; fríamente|o;o
colloquially|coloquialmente|o
cram|atiborrar, meter a presión; estudiar a última hora, empollar|v;v
crevice|grieta, hendidura|o
daydream|ensueño, ensoñación; soñar despierto|o;v
debit|débito, cargo|o
decompose|descomponerse, pudrirse; descomponer (en partes)|v;v
dem|ellos, los (coloquial, = them)|o
detrimental|perjudicial|o
deviate|desviarse (de)|v
disapproval|desaprobación|o
drunkard|borracho|o
electrify|electrificar; electrizar, entusiasmar|v;v
falsely|falsamente|o
frontman|cantante principal, líder de una banda; cara visible|o;o
generalization|generalización|o
geneticist|genetista|o
giraffe|jirafa|o
handicraft|artesanía|o
hunh|¿eh?, ¡ah! (sonido de sorpresa o pregunta)|o
imaginable|imaginable|o
impulsive|impulsivo|o
incoherent|incoherente|o
innkeeper|posadero, mesonero|o
internationalize|internacionalizar|v
jargon|jerga|o
joyride|paseo temerario en un carro robado|o
justly|justamente, con justicia|o
keynote|tema central; keynote speech: discurso principal|o;n
landowner|terrateniente, propietario de tierras|o
lemme|déjame (coloquial, = let me)|o
logarithmic|logarítmico|o
lore|saber popular, tradición|o
malignant|maligno (canceroso); malvado|o;o
mildly|ligeramente; suavemente|o;o
morbid|morboso|o
multisite|multisitio, en varias sedes|o
musing|reflexión, cavilación|o
nab|atrapar, pescar (coloquial)|v
observance|cumplimiento, observancia; rito religioso|o;o
orangutan|orangután|o
oscillation|oscilación|o
outspoken|franco, directo|o
overwork|trabajar en exceso|v
oxidation|oxidación|o
parabola|parábola|o
paradoxical|paradójico|o
perestroika|perestroika|o
permissible|permisible, admisible|o
plume|pluma; columna (de humo)|o;o
pretence|fingimiento, pretexto|o
puffy|hinchado|o
quotient|cociente|o
rabble|chusma, turba|o
rebate|reembolso parcial, bonificación|o
renegade|renegado, rebelde|o
respite|respiro, tregua|o
restive|inquieto, intranquilo|o
scribble|garabatear|v
seam|costura; veta (de carbón)|o;o
shackle|grillete; encadenar|o;v
showrunner|responsable de una serie de televisión, showrunner|o
shrub|arbusto|o
snare|trampa, lazo|o
snowflake|copo de nieve|o
sportsman|deportista|o
stalactite|estalactita|o
stationary|inmóvil, estacionario|o
trashed|destrozado; borracho perdido (coloquial)|o;o
veterinary|veterinario|o
visage|rostro, semblante|o
viz|a saber, es decir|o
waft|flotar, llegar (un aroma)|v
widget|artilugio, chunche|o
wriggle|retorcerse, menearse|v
zoology|zoología|o
adequacy|suficiencia, idoneidad|o
advantageous|ventajoso, beneficioso|o
affliction|aflicción, sufrimiento; dolencia, enfermedad|o;o
approx|aprox. (abreviatura de aproximadamente)|o
artefact|artefacto, objeto|o
assailant|agresor, atacante|o
beholden|en deuda, obligado|o
binge|atracón, exceso|o
blocker|bloqueador|o
boson|bosón|o
businesspeople|empresarios, gente de negocios|o
buybacks|recompras de acciones, plural de buyback|o
carbonate|carbonato|o
celled|celular, de células (en single-celled, many-celled)|o
chisel|cincel|o
chump|tonto, bobo (coloquial)|o
cochlear|coclear|o
compatriot|compatriota|o
confidant|confidente|o
conspire|conspirar|v
conveniently|convenientemente, oportunamente|o
croak|croar, graznar; estirar la pata, morir (coloquial)|v;v
cubicle|cubículo|o
debrief|interrogar tras una misión|v
demonic|demoníaco|o
dissonance|disonancia|o
dormant|inactivo, latente|o
dreamy|de ensueño, soñador; guapo, atractivo (coloquial)|o;o
driverless|sin conductor, autónomo|o
earthworm|lombriz de tierra|o
ejaculate|eyacular; exclamar|v;v
epitomize|personificar, ser el paradigma de|v
equitably|equitativamente|o
fatally|mortalmente|o
fateful|fatídico, decisivo|o
feline|felino; felino, gato|o;o
filament|filamento|o
fracking|fracturación hidráulica, fracking|o
fractional|mínimo, ínfimo; fraccionario|o;o
fungal|fúngico, de hongos|o
funnel|embudo; canalizar|o;v
gamification|gamificación, ludificación|o
geeks|nerds, fanáticos (coloquial), plural de geek|o
geographer|geógrafo|o
guerilla|guerrillero|o
habitual|habitual; habitual, asiduo|o;o
hilt|empuñadura; to the hilt: completamente, hasta el cuello|o;n
hopelessly|sin esperanza, desesperanzadamente; completamente, irremediablemente|o;o
hotline|línea directa, línea de ayuda|o
hymen|himen|o
hyperbolic|hiperbólico, exagerado; hiperbólico (de la hipérbola)|o;o
hypertension|hipertensión|o
hypocritical|hipócrita|o
illiterate|analfabeto|o
illumination|iluminación, luz; iluminación, comprensión|o;o
incubator|incubadora; incubadora de empresas|o;o
infraction|infracción|o
insufficiently|insuficientemente|o
kilowatt|kilovatio|o
laggard|rezagado|o
laudable|loable, encomiable|o
mammalian|de los mamíferos|o
mayoral|de alcalde, municipal|o
mea|mea culpa: mea culpa, reconocimiento de un error|n
microbiome|microbioma|o
miscarriage|aborto espontáneo; miscarriage of justice: error judicial|o;n
mistakenly|por error, equivocadamente|o
