# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
castaway|korban kapal karam|o
cinch|pekerjaan gampang (bahasa lisan); mengikat erat|o;v
collagen|kolagen|o
concurrently|bersamaan, serentak|o
condone|membiarkan, memaafkan (kesalahan)|v
cordial|ramah dan hangat; sirup buah pekat|o;o
dispatcher|petugas pengirim kendaraan atau tim darurat|o
estrange|mengasingkan, merenggangkan (biasanya estranged)|v
exasperation|kejengkelan yang amat sangat|o
familiarity|pengenalan yang akrab, pengetahuan mendalam; keakraban, sikap tidak formal|o;o
flatten|meratakan|v
gait|cara berjalan, gaya jalan|o
grocer|pedagang bahan makanan|o
helplessness|ketidakberdayaan|o
heterosexuality|heteroseksualitas|o
hindsight|pemahaman setelah kejadian|o
hologram|hologram|o
illusory|semu, menipu|o
impeach|mendakwa (pejabat) atas pelanggaran, memakzulkan|v
implode|runtuh ke dalam|v
infuriate|membuat sangat marah|v
inshallah|insya Allah|o
interpolation|penyisipan; interpolasi, perkiraan di antara nilai yang diketahui|o;o
intersex|interseks, memiliki ciri biologis pria dan wanita|o
interstate|antarnegara bagian; jalan tol antarnegara bagian (AS)|o;o
login|proses masuk (akun); nama pengguna dan kata sandi|o;o
manually|secara manual, dengan tangan|o
mortuary|kamar mayat|o
mutiny|pemberontakan pelaut atau prajurit|o
norovirus|norovirus, virus penyebab muntah dan diare|o
olfactory|tentang penciuman|o
oneself|diri sendiri (refleksif dari one)|o
partake|ikut serta; menyantap, mencicipi (makanan, minuman)|v;v
picturesque|indah dipandang|o
pollinator|penyerbuk|o
porno|porno (bahasa lisan)|o
relaunch|meluncurkan kembali|v
resettle|bermukim kembali, memindahkan ke tempat baru|v
revoke|mencabut, membatalkan|v
rubble|puing, reruntuhan|o
sediment|endapan|o
senseless|sia-sia, tak berarti; pingsan, tak sadar|o;o
stratosphere|stratosfer, lapisan atas atmosfer|o
substrate|lapisan dasar, alas|o
sullen|merajuk, cemberut|o
thieving|suka mencuri|o
treadmill|treadmill, alat lari di tempat; rutinitas yang membosankan|o;o
tulip|tulip|o
unsafe|berbahaya, tidak aman|o
veal|daging anak sapi|o
adaptable|mudah menyesuaikan diri|o
afterlife|alam baka, kehidupan setelah mati|o
allude|menyinggung secara tidak langsung|v
apathy|sikap apatis, ketidakpedulian|o
bearer|pembawa, pemegang|o
beleaguered|terkepung, dalam kesulitan|o
benefactor|dermawan, penyantun|o
biomedical|biomedis|o
breadth|lebar; cakupan, keluasan|o;o
breastfeed|menyusui|v
briskly|dengan cepat, dengan bersemangat|o
caveat|peringatan, syarat|o
chaplain|pendeta atau rohaniwan di lembaga atau ketentaraan|o
cheerio|dadah, sampai jumpa (bahasa lisan)|o
chubby|montok, tembam|o
clarinet|klarinet|o
commend|memuji; menitipkan, mempercayakan|v;v
concurrent|bersamaan, serentak|o
delve|menggali, menyelidiki lebih dalam|v
droplet|tetesan kecil|o
edible|dapat dimakan|o
endlessly|tanpa henti|o
genealogy|silsilah, asal-usul keluarga|o
hahaha|hahaha (tawa)|o
helix|spiral, heliks|o
hysteria|histeria, kepanikan tak terkendali|o
incessantly|tanpa henti, terus-menerus|o
individualism|individualisme|o
innate|bawaan, alami|o
instructive|mendidik, informatif|o
invisibility|ketidaktampakan|o
localize|membatasi pada satu daerah; melokalkan, menyesuaikan untuk pasar setempat|v;v
locomotion|gerak berpindah tempat|o
magically|secara ajaib, dengan sihir; dengan luar biasa|o;o
matchmaker|mak comblang, perantara jodoh|o
multitask|mengerjakan beberapa hal sekaligus|v
orchestral|tentang orkestra|o
parallelogram|jajaran genjang|o
paranoia|paranoia, kecurigaan berlebihan|o
periodically|sesekali, secara berkala|o
pertain|berkaitan (dengan)|v
pious|saleh, taat beragama|o
pluralistic|majemuk, pluralistis|o
prodigious|luar biasa besar, mengagumkan|o
proletarian|tentang kaum buruh, proletar|o
pulmonary|tentang paru-paru|o
reciprocal|timbal balik, saling|o
refill|mengisi ulang; isi ulang|v;o
registrar|petugas pencatat, panitera|o
replication|penggandaan, pengulangan|o
reprimand|teguran resmi; menegur secara resmi|o;v
revere|memuliakan, sangat menghormati|v
rung|rung, bentuk past participle dari ring; anak tangga|o;o
sadden|membuat sedih|v
sandal|sandal|o
shyness|rasa malu, sifat pemalu|o
slob|orang malas dan jorok|o
snappy|cepat, lincah; bergaya, necis; mudah marah|o;o;o
snowy|bersalju; putih seperti salju|o;o
soloist|pemain solo, solois|o
stave|stave off: menangkal, mencegah; bilah kayu tong; paranada|n;o;o
submerge|menenggelamkan, menyelam|v
submersible|dapat menyelam; kapal selam kecil|o;o
subsp|subspesies (singkatan)|o
subtly|secara halus, samar-samar|o
supersede|menggantikan|v
syllable|suku kata|o
tentative|ragu-ragu; sementara, belum pasti|o;o
unambiguous|jelas, tidak bermakna ganda|o
unconstitutional|inkonstitusional, melanggar undang-undang dasar|o
woodland|hutan, daerah berhutan|o
almond|kacang almond|o
antiderivative|antiturunan, integral tak tentu|o
avoidable|dapat dihindari|o
banjo|banjo|o
bibliography|daftar pustaka, bibliografi|o
bourgeois|kelas menengah, borjuis; materialistis, konvensional|o;o
carer|perawat, pengasuh (orang sakit atau difabel)|o
cervical|tentang leher rahim, serviks; tentang leher|o;o
characterization|penokohan; penggambaran, deskripsi|o;o
circumference|keliling lingkaran|o
clump|gerombol, rumpun (pohon, rambut); berjalan dengan langkah berat|o;v
coaster|tatakan gelas; roller coaster|o;o
colossal|sangat besar, raksasa|o
contamination|pencemaran, kontaminasi|o
contentment|rasa puas, ketenteraman hati|o
cranky|pemarah, rewel; aneh, eksentrik|o;o
critter|makhluk, binatang (bahasa lisan)|o
cronyism|kronisme, memberi jabatan kepada kawan|o
debilitate|melemahkan|v
delineate|menguraikan dengan tepat; menandai batas|v;v
demeanour|sikap, tingkah laku|o
deride|mengejek, mencemooh|v
eigenvector|vektor eigen|o
elasticity|kelenturan; elastisitas (ekonomi)|o;o
emptiness|kekosongan; rasa hampa|o;o
encoding|pengodean, penyandian|o
energize|memberi tenaga, menyemangati|v
enmity|permusuhan|o
expansive|luas, lebar; terbuka dan banyak bicara|o;o
extractive|ekstraktif (pertambangan, pengeboran)|o
exuberance|semangat meluap-luap|o
favorably|dengan setuju, secara positif; secara menguntungkan|o;o
forceful|kuat, tegas|o
forcibly|secara paksa|o
foresight|pandangan jauh ke depan|o
forestall|mencegah dengan bertindak lebih dulu|v
formalize|meresmikan|v
gatherer|pengumpul; hunter-gatherer: pemburu-peramu|o;n
gymnast|pesenam|o
homepage|beranda, halaman utama situs web|o
idiotic|sangat bodoh, tolol|o
inhibitor|penghambat, inhibitor|o
insured|diasuransikan; tertanggung, pemegang polis|o;o
intentioned|well-intentioned: bermaksud baik|n
invader|penyerbu, penjajah|o
layoff|pemutusan hubungan kerja, PHK|o
logarithm|logaritma|o
man's|milik laki-laki (posesif); man is (laki-laki itu adalah); man has (laki-laki itu punya, sudah)|o;o;o
menstruation|menstruasi, haid|o
meows|ngeong-ngeong kucing; mengeong|o;o
meritocracy|meritokrasi|o
miserably|dengan sedih; dengan menyedihkan, buruk sekali|o;o
monetization|monetisasi|o
moribund|sekarat; mandek|o;o
multiculturalism|multikulturalisme|o
mutate|bermutasi (secara genetik); berubah bentuk|v;v
nanotechnology|nanoteknologi|o
nativist|nativis, mengutamakan penduduk asli daripada imigran|o
nuance|nuansa, perbedaan halus|o
octave|oktaf|o
opium|candu, opium|o
outlier|pencilan, nilai yang jauh dari yang lain|o
ovary|indung telur, ovarium|o
plebiscite|plebisit, pemungutan suara rakyat secara langsung|o
pollinate|menyerbuki|v
populace|rakyat, khalayak umum|o
powerfully|dengan kuat|o
profligacy|pemborosan besar-besaran|o
profligate|boros; bejat, tidak bermoral|o;o
progressively|secara bertahap, makin lama makin|o
purport|mengaku (secara palsu)|v
randomness|keacakan|o
recessionary|menyebabkan atau berkaitan dengan resesi|o
repertoire|repertoar, daftar karya yang dikuasai pemain|o
replenish|mengisi kembali|v
retrospect|in retrospect: jika dipikir kembali|n
sizable|cukup besar|o
socialize|bergaul, bersosialisasi|v
solvent|mampu membayar utang; pelarut|o;o
strew|menebarkan, menghamburkan|v
tepid|suam-suam kuku; kurang bersemangat|o;o
thickness|ketebalan|o
thinner|lebih tipis, bentuk komparatif dari thin; tiner, pengencer cat|o;o
tranquillity|ketenangan, kedamaian|o
uncompetitive|tidak mampu bersaing|o
uncontrollably|tanpa terkendali|o
utopian|utopis, idealis|o
vanguard|garda depan; barisan terdepan, pelopor|o;o
vegetarianism|vegetarianisme, tidak makan daging|o
wherein|di mana, yang di dalamnya|o
whopping|sangat besar (bahasa lisan)|o
absurdity|kekonyolan, absurditas|o
accordion|akordeon|o
affinity|rasa suka alami, ketertarikan; kemiripan|o;o
aft|ke arah buritan|o
aristocratic|ningrat, aristokratis|o
beeper|pager, penyeranta|o
blasphemy|penghujatan, penistaan agama|o
burdensome|memberatkan, menyusahkan|o
businesswoman|pengusaha wanita|o
clot|gumpalan darah; menggumpal|o;v
confinement|pemenjaraan, kurungan; keadaan terkurung|o;o
continual|berulang-ulang, terus-menerus|o
cucumber|mentimun|o
electrification|elektrifikasi, penyediaan listrik|o
emphasise|menekankan|v
fait|fait accompli: kenyataan yang sudah terjadi dan tak bisa diubah|n
fermentation|fermentasi, peragian|o
ferocious|ganas, buas|o
flunk|gagal, tidak lulus (ujian) (bahasa lisan)|v
freckle|bintik-bintik cokelat di kulit|o
guberniya|provinsi Kekaisaran Rusia|o
guise|wujud luar, kedok; penyamaran|o;o
harmonic|tentang harmoni; nada harmonik|o;o
harp|harpa; harp on: terus-menerus membicarakan|o;n
hazy|berkabut; samar-samar|o;o
hepatitis|hepatitis, radang hati|o
horde|gerombolan besar|o
hospitalize|merawat di rumah sakit|v
identifier|pengenal|o
impart|menyampaikan, menularkan (informasi, sifat)|v
implausible|tidak masuk akal, sulit dipercaya|o
ingrained|mendarah daging|o
internationalist|internasionalis, mendukung kerja sama antarbangsa|o
jug|kendi, teko|o
leech|lintah; benalu, orang yang memeras orang lain|o;o
lull|jeda tenang; meninabobokan, menenangkan|o;v
madly|dengan liar, seperti orang gila; sangat|o;o
millimetre|milimeter|o
mixtape|kompilasi lagu|o
namesake|orang yang bernama sama|o
ordain|menahbiskan (menjadi imam); menetapkan secara resmi|v;v
outcry|protes publik|o
outstrip|melampaui, mengungguli|v
psychoanalysis|psikoanalisis|o
psychotherapy|psikoterapi|o
puddle|genangan air|o
punter|pelanggan (bahasa lisan); penjudi|o;o
rationality|rasionalitas, kewajaran berpikir|o
reciprocate|membalas (perasaan atau perbuatan)|v
reorganization|reorganisasi, penataan ulang|o
retake|mengambil lagi, mengulang; merebut kembali|v;v
rinse|membilas|v
simmer|merebus dengan api kecil; memendam amarah|v;v
skim|membaca sekilas; menyendoki dari permukaan; meluncur di atas|v;v;v
sleeper|orang yang tidur; bantalan rel; kereta tidur; agen rahasia terpendam|o;o;o;o
sodding|sialan (bahasa lisan)|o
southernmost|paling selatan|o
spec|spesifikasi (bahasa lisan); on spec: tanpa jaminan, untung-untungan|o;n
statutory|diwajibkan undang-undang|o
steppe|stepa, padang rumput luas|o
stratum|lapisan|o
striving|usaha, jerih payah|o
subfamily|subfamili, anak suku (biologi)|o
symbolism|simbolisme, perlambangan|o
termination|pengakhiran; pemecatan|o;o
tripe|babat; omong kosong (bahasa lisan)|o;o
unequivocal|tegas, tidak bermakna ganda|o
upstream|ke hulu, melawan arus; pada tahap lebih awal|o;o
vitally|sangat penting, secara mendasar|o
whim|keinginan mendadak, iseng|o
zeal|semangat berkobar-kobar|o
abolitionist|penentang perbudakan|o
accursed|terkutuk; dibenci, menjengkelkan|o;o
adventurous|suka bertualang, berani|o
agile|lincah, gesit|o
agnostic|agnostik; tidak memihak|o;o
analyse|menganalisis|v
annals|catatan sejarah, babad|o
ardent|bersemangat, penuh gairah|o
aristocrat|bangsawan, ningrat|o
auspice|under the auspices of: dengan dukungan, di bawah naungan|n
bask|berjemur, menghangatkan diri; menikmati (perhatian)|v;v
benzene|benzena|o
bodily|jasmani, fisik; secara paksa (dengan tenaga fisik)|o;o
brinkmanship|politik di ambang bahaya demi menang|o
byproduct|produk sampingan|o
cannibal|kanibal, pemakan daging manusia|o
circuitry|rangkaian listrik|o
coerce|memaksa, menekan|v
culinary|tentang masak-memasak, kuliner|o
decarbonize|mengurangi emisi karbon|v
degenerate|merosot, memburuk; orang bejat|v;o
delicately|dengan lembut, hati-hati; dengan bijaksana|o;o
despatch|mengirim; kiriman berita, laporan|v;o
disaffected|tidak puas, terasing|o
drainage|drainase, pembuangan air|o
elitist|elitis|o
exceptionalism|keyakinan bahwa suatu bangsa istimewa|o
fathom|memahami; depa (ukuran kedalaman air)|v;o
fauna|fauna, dunia hewan suatu daerah|o
fir|cemara|o
foie|foie gras: hati angsa atau bebek yang digemukkan|n
fulfillment|kepuasan batin; pelaksanaan, pemenuhan|o;o
gauze|kain kasa|o
gild|menyepuh emas|v
gras|foie gras: hati angsa atau bebek yang digemukkan; Mardi Gras: karnaval menjelang masa Prapaskah|n;n
harbinger|pertanda, tanda-tanda|o
harrow|garu (alat pertanian); menyiksa batin (biasanya harrowing)|o;v
hateful|penuh kebencian; dibenci, menjijikkan|o;o
heartbreaking|sangat menyedihkan, memilukan|o
hoe|cangkul; pelacur (bahasa lisan, = whore)|o;o
horribly|dengan mengerikan, parah sekali|o
innumerable|tak terhitung|o
intake|asupan, jumlah yang masuk; angkatan (yang diterima)|o;o
jeer|mencemooh, menyoraki|v
kayak|kayak, sampan tertutup|o
krauts|sebutan menghina untuk orang Jerman (bahasa lisan)|o
liquidate|melikuidasi (usaha); membunuh, menghabisi|v;v
locket|liontin berongga|o
meridian|garis bujur, meridian; titik puncak|o;o
micron|mikron|o
microscopy|mikroskopi|o
mirth|kegembiraan, gelak tawa|o
mishap|kecelakaan kecil, kemalangan|o
modular|modular, tersusun dari unit-unit terpisah|o
molar|geraham|o
monograph|monograf|o
nectar|nektar, madu bunga|o
nerdy|kutu buku dan canggung (bahasa lisan)|o
neurologist|dokter saraf, neurolog|o
numeric|numerik, berupa angka|o
occupational|berkaitan dengan pekerjaan|o
overt|terang-terangan, tidak tersembunyi|o
peacekeeper|pasukan penjaga perdamaian|o
periscope|periskop|o
pernicious|merusak secara perlahan|o
petrify|membuat sangat ketakutan; membatu|v;v
pluralist|pluralis|o
presumption|anggapan, dugaan; kelancangan, kesombongan|o;o
pronged|bercabang; two-pronged: dua arah, dengan dua pendekatan|o;n
quintet|kuintet|o
ramification|akibat, dampak|o
recurrence|terulangnya, kekambuhan|o
reminisce|mengenang masa lalu|v
responder|penanggap; first responder: petugas tanggap darurat|o;n
rouble|rubel|o
runoff|limpasan air; pemilihan putaran kedua|o;o
satyr|satir (makhluk setengah manusia setengah kambing); lelaki mata keranjang|o;o
secrete|mengeluarkan, menyekresi (cairan); menyembunyikan|v;v
shadowy|gelap, remang-remang; misterius|o;o
shyster|pengacara atau pengusaha curang (bahasa lisan)|o
silo|silo, lumbung menara; silo rudal bawah tanah; unit yang terisolasi|o;o;o
smite|memukul keras|v
sweatpants|celana olahraga longgar|o
tether|tali penambat; menambatkan|o;v
transformer|trafo, transformator|o
tunic|tunik|o
unaffordable|tak terjangkau, terlalu mahal|o
vigor|tenaga, kekuatan|o
vinculum|garis di atas angka (matematika)|o
virulent|ganas (penyakit); sangat bermusuhan|o;o
wellness|kesehatan, kebugaran|o
wildfire|kebakaran hutan; like wildfire: sangat cepat|o;n
actuator|aktuator, penggerak|o
adieu|selamat tinggal|o
bedrock|batuan dasar; landasan, fondasi|o;o
blower|peniup udara, blower; telepon (bahasa lisan)|o;o
bony|kurus kering; banyak tulangnya|o;o
bookstore|toko buku|o
buzzard|elang|o
cartridge|selongsong peluru, kartrid tinta|o
centralization|sentralisasi, pemusatan kekuasaan|o
charcoal|arang; abu-abu tua|o;o
clergyman|pendeta, rohaniwan|o
clitoris|klitoris, kelentit|o
complicit|terlibat dalam kejahatan|o
contort|memutarbalikkan, meliuk-liukkan|v
convolution|kerumitan, lilitan; konvolusi (matematika)|o;o
cork|gabus; sumbat botol|o;o
curvature|kelengkungan|o
deject|membuat sedih, membuat patah semangat (biasanya dejected)|v
detriment|kerugian|o
dictatorial|diktatoris, suka memerintah|o
dojo|dojo, tempat latihan bela diri|o
eject|mengeluarkan, melontarkan; mengusir|v;v
envious|iri hati|o
evenly|merata, rata|o
eyelash|bulu mata|o
ferret|musang; ferret out: menemukan dengan mencari-cari|o;n
fluorine|fluor|o
foliage|dedaunan|o
gat|pistol (bahasa lisan)|o
graft|cangkokan jaringan; korupsi; kerja keras (bahasa lisan)|o;o;o
grate|memarut; menjengkelkan; rangka perapian|v;v;o
ideologues|para ideolog, bentuk jamak dari ideologue|o
imaginative|imajinatif, kreatif|o
iterate|mengulang|v
jihadi|pejuang jihad militan|o
kosher|halal menurut hukum Yahudi, kosher; sah, beres (bahasa lisan)|o;o
legalize|melegalkan|v
lighthouse|mercusuar|o
limitless|tak terbatas|o
medalist|peraih medali|o
mockery|ejekan, cemoohan; lelucon, penghinaan (terhadap sesuatu)|o;o
modernism|modernisme|o
overfishing|penangkapan ikan berlebihan|o
pear|pir|o
piranha|piranha|o
plunder|menjarah; jarahan|v;o
programmable|dapat diprogram|o
psychoanalyst|psikoanalis|o
purity|kemurnian, kebersihan; kesucian|o;o
recapitalize|merekapitalisasi, menambah modal baru|v
resin|damar, getah|o
saxophonist|pemain saksofon|o
scenic|berpemandangan indah|o
scribe|juru tulis; penulis|o;o
sewage|limbah, air kotor|o
shrewd|cerdik, lihai|o
spreadsheet|lembar kerja, spreadsheet|o
steamboat|kapal uap|o
stewardess|pramugari|o
sulfide|sulfida|o
transcribe|mencatat, mentranskripsikan (ucapan)|v
transporter|alat angkut, kendaraan pengangkut|o
undefined|tidak terdefinisi, tak jelas|o
unhappily|dengan sedih; sayangnya|o;o
unlawful|melanggar hukum|o
untold|tak terhitung; tak terungkap|o;o
vascular|tentang pembuluh darah|o
vocalize|mengungkapkan dengan kata-kata|v
walkable|bisa dijalani kaki|o
yurt|yurt, tenda bundar kaum nomaden Asia Tengah|o
abandonment|penelantaran, pengabaian|o
advertiser|pengiklan|o
airspace|wilayah udara|o
algorithmic|algoritmis|o
angiogenesis|angiogenesis, pembentukan pembuluh darah baru|o
annualized|disetahunkan|o
antler|tanduk rusa|o
aperture|celah, bukaan|o
ascension|kenaikan; kenaikan ke surga|o;o
biopsy|biopsi|o
brilliance|kecemerlangan, kilau; kejeniusan|o;o
camouflage|kamuflase, penyamaran|o
centrality|sentralitas, kedudukan penting|o
chemo|kemo (bahasa lisan)|o
clandestine|rahasia, sembunyi-sembunyi|o
commonplace|biasa, lumrah|o
crumple|meremas, meremukkan; ambruk|v;v
dainty|mungil, anggun|o
detest|membenci|v
doorkeeper|penjaga pintu|o
downwards|ke bawah|o
engender|menimbulkan, menyebabkan|v
engrave|mengukir, menggrafir|v
enjoyable|menyenangkan|o
entirety|keseluruhan|o
epithet|julukan; makian|o;o
fabricate|mengarang (kebohongan); membuat, memproduksi|v;v
filmography|filmografi|o
fraudulent|curang, palsu|o
gentlewoman|wanita terhormat|o
grandeur|kemegahan|o
headway|kemajuan; make headway: mengalami kemajuan|o;n
heartache|sakit hati, duka|o
homelessness|tunawisma, ketiadaan tempat tinggal|o
hydroelectric|hidroelektrik, tenaga air|o
immersive|imersif, membuat larut sepenuhnya|o
indent|menjorokkan teks; pesanan resmi barang|v;o
inflammatory|menghasut, provokatif; menyebabkan peradangan|o;o
insta|Instagram (bahasa lisan)|o
intergenerational|antargenerasi|o
joblessness|pengangguran|o
livery|seragam pelayan; warna khas perusahaan|o;o
lustful|penuh nafsu birahi|o
magenta|merah keunguan, magenta|o
magnate|taipan, konglomerat|o
maple|pohon maple|o
mayhem|kekacauan|o
meticulously|dengan sangat teliti|o
midfielder|gelandang|o
monologue|monolog|o
muddy|berlumpur; keruh, tidak jelas|o;o
narcissistic|narsistik|o
nibble|menggigit sedikit-sedikit; gigitan kecil|v;o
nightfall|senja, malam tiba|o
northernmost|paling utara|o
oceanic|tentang samudra|o
offline|luring, tidak terhubung ke internet; tatap muka|o;o
ordinance|peraturan, perda|o
oval|lonjong, bulat telur|o
overcoat|mantel panjang|o
oversized|berukuran besar, kebesaran|o
overweight|kelebihan berat badan|o
piecemeal|sedikit demi sedikit|o
pong|bau busuk (bahasa lisan); tenis meja|o;o
prairie|padang rumput luas|o
predominant|utama, paling umum|o
preparatory|persiapan, pendahuluan|o
profusely|berlimpah-limpah|o
qua|sebagai, dalam kapasitas sebagai|o
quotation|kutipan; penawaran harga|o;o
rabies|rabies|o
reciprocity|timbal balik, resiprositas|o
rector|pastor paroki; rektor|o;o
reparation|ganti rugi (biasanya reparations)|o
reprogram|memprogram ulang|v
repulse|menjijikkan; memukul mundur|v;v
residue|sisa, residu|o
resurrect|menghidupkan kembali|v
retribution|pembalasan, hukuman|o
reverie|lamunan|o
rework|merevisi, mengerjakan ulang|v
sarcophagus|sarkofagus, peti mati batu|o
secularist|pendukung sekularisme|o
sensual|sensual, memanjakan indra|o
silky|halus seperti sutra|o
slang|bahasa gaul, slang|o
southward|ke arah selatan|o
spindle|kumparan pemintal; poros tipis|o;o
subtraction|pengurangan|o
summons|surat panggilan pengadilan|o
thorium|torium|o
timeless|abadi, tak lekang oleh waktu|o
tot|balita; seteguk minuman keras; tot up: menjumlahkan|o;o;n
travail|jerih payah, penderitaan|o
tuft|jumput, gumpal (rambut, rumput)|o
undisclosed|dirahasiakan, tidak diungkapkan|o
unforeseen|tak terduga|o
unpublished|belum diterbitkan|o
vertically|secara vertikal, tegak lurus|o
vigilant|waspada|o
vividly|dengan jelas, dengan hidup|o
abundantly|berlimpah-limpah; abundantly clear: sangat jelas|o;n
affine|afin (matematika)|o
ascribe|menganggap berasal (dari), menghubungkan (dengan)|v
assail|menyerang|v
bandleader|pemimpin band|o
battleground|medan pertempuran|o
boldness|keberanian|o
companionship|persahabatan, kebersamaan|o
crossbow|busur silang|o
customary|lazim, biasa|o
cylindrical|berbentuk silinder|o
desirous|berhasrat, menginginkan|o
despot|tiran, lalim|o
deuce|dua (kartu atau dadu); deuce, skor 40-40 dalam tenis; setan (bahasa lisan)|o;o;o
dictum|diktum, pernyataan resmi|o
dis|menghina, meremehkan (bahasa lisan)|v
dismissal|pemecatan; penolakan|o;o
dither|ragu-ragu, bimbang|v
downfall|kejatuhan, keruntuhan|o
dweller|penghuni, penduduk|o
earmark|menyisihkan untuk tujuan tertentu|v
exaggeration|pernyataan yang dilebih-lebihkan|o
externally|di bagian luar|o
fascination|ketertarikan yang kuat|o
gambit|langkah pembuka, taktik|o
goddam|sialan (bahasa lisan)|o
gymnasium|gedung olahraga|o
hazardous|berbahaya|o
hydropower|tenaga air|o
impregnate|menghamili; meresapi, merendam|v;v
inadequacy|kekurangan; rasa tidak mampu|o;o
incitement|hasutan|o
indefinite|tanpa batas waktu; samar, tidak pasti|o;o
insolent|kurang ajar|o
intermediation|perantaraan|o
intrusion|gangguan, penyusupan|o
logically|secara logis|o
maize|jagung|o
marital|perkawinan|o
meself|diriku sendiri (bahasa lisan, = myself)|o
minivan|minivan, mobil keluarga|o
motherhood|keibuan, menjadi ibu|o
necessitate|mengharuskan|v
negate|meniadakan; menyangkal|v;v
nostalgic|rindu masa lalu, nostalgis|o
passer|passer-by: orang yang lewat; pengumpan (olahraga)|n;o
patriarchal|patriarkal, dikuasai laki-laki|o
perpetrate|melakukan (kejahatan)|v
pester|merecoki, mengganggu dengan permintaan terus-menerus|v
plough|bajak; membajak|o;v
polluter|pencemar|o
posit|mengemukakan, mengandaikan|v
quill|pena bulu; duri landak|o;o
raisin|kismis|o
rescind|mencabut, membatalkan (undang-undang, keputusan)|v
retell|menceritakan kembali|v
revaluation|penilaian kembali, revaluasi|o
salvage|menyelamatkan (dari kehancuran); penyelamatan barang|v;o
secessionist|separatis, pendukung pemisahan diri|o
securitization|sekuritisasi|o
smother|membekap, mencekik; melumuri tebal|v;v
spank|memukul pantat|v
strikingly|sangat mencolok|o
supremacist|penganut paham keunggulan kelompoknya|o
throttle|mencekik; katup gas|v;o
toothless|ompong; tidak berdaya|o;o
unanimity|kebulatan suara|o
undue|berlebihan|o
uneasily|dengan cemas|o
unfazed|tidak terusik, tenang saja|o
unheard|tidak didengar; unheard of: belum pernah terjadi|o;n
usefulness|kegunaan|o
widowed|menjanda, menduda|o
adaptability|kemampuan beradaptasi|o
adoration|pemujaan, cinta mendalam|o
aforementioned|tersebut di atas|o
allusion|sindiran, kiasan|o
apex|puncak|o
apparition|hantu, penampakan|o
assent|persetujuan; menyetujui|o;v
auspicious|menjanjikan, membawa keberuntungan|o
bibliographic|bibliografis|o
biotech|bioteknologi|o
bleach|pemutih; memutihkan|o;v
blindly|tanpa melihat; membabi buta|o;o
boiler|ketel uap, pemanas air|o
bombardment|pengeboman, serangan bertubi-tubi|o
burrow|liang; menggali|o;v
centenary|peringatan seratus tahun|o
centigrade|Celsius|o
churn|mengaduk kuat-kuat; alat pengocok mentega; hilangnya pelanggan (bisnis)|v;o;o
clog|menyumbat; bakiak|v;o
codon|kodon|o
comparatively|secara relatif|o
compulsive|tak tertahankan; kompulsif|o;o
condense|meringkas; mengembun|v;v
congenital|bawaan lahir|o
consign|mengirimkan; menyerahkan|v;v
contractionary|kontraktif (mengurangi kegiatan ekonomi)|o
cookbook|buku resep|o
counterintelligence|kontraintelijen|o
courteous|sopan|o
cowardly|pengecut|o
crotch|selangkangan|o
decipher|memecahkan (sandi, tulisan)|v
deign|sudi, berkenan (melakukan)|v
densely|dengan padat|o
devoid|devoid of: sama sekali tanpa|n
differentiation|pembedaan; diferensiasi|o;o
druggist|apoteker|o
enigmatic|penuh teka-teki, misterius|o
entwine|menjalin, membelit|v
epitope|epitop|o
excitable|mudah bergairah, gampang terangsang|o
fetal|tentang janin; fetal position: posisi meringkuk|o;n
finder|penemu|o
flex|melenturkan (otot); pamer (bahasa lisan)|v;v
fmri|fMRI, pemindaian aktivitas otak|o
foreclosure|penyitaan jaminan hipotek|o
freestyle|gaya bebas; renang gaya bebas|o;o
fundraising|penggalangan dana|o
ghastly|mengerikan|o
glossy|mengilap|o
goosebumps|merinding, bulu kuduk berdiri|o
groundbreaking|terobosan baru, inovatif|o
heartbreak|patah hati, duka mendalam|o
idealism|idealisme|o
incorrectly|dengan salah|o
indescribable|tak terlukiskan|o
inexplicably|secara tak terjelaskan|o
infancy|masa bayi; tahap awal|o;o
infertility|kemandulan|o
informer|informan, pengadu|o
intransigence|sikap keras kepala|o
joyfully|dengan gembira|o
lactose|laktosa|o
locust|belalang kembara|o
mango|mangga|o
miraculous|ajaib|o
monopolize|memonopoli|v
naught|nihil, tidak ada; come to naught: gagal|o;n
nil|nihil, nol|o
normalcy|kenormalan|o
obstruction|hambatan, penyumbatan|o
pager|pager, penyeranta|o
participatory|partisipatif|o
peddle|menjajakan; menyebarkan (gagasan)|v;v
pediatrician|dokter anak|o
pelvic|tentang panggul|o
perfectionism|perfeksionisme|o
pisco|pisco, brendi Peru|o
predictor|peramal, penanda masa depan|o
psychoanalytic|psikoanalitis|o
rapture|kegembiraan meluap, ekstase|o
