# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
utmost|máximo, extremo; o máximo possível (do your utmost)|o;o
intently|atentamente, com muita atenção|o
spat|cuspiu, passado de spit; briguinha, bate-boca|o;o
warmly|calorosamente, de modo cordial; de modo a ficar quente, bem agasalhado|o;o
indifferent|indiferente, desinteressado; medíocre|o;o
whence|de onde|o
abbe|abade, padre francês|o
colonist|colono|o
proudly|com orgulho, orgulhosamente|o
momentarily|por um momento; em instantes, logo|o;o
speechless|sem palavras, mudo (de choque ou emoção)|o
afterward|depois, em seguida|o
jolt|sacudir de repente; solavanco, choque|v;o
shaky|trêmulo; instável, incerto|o;o
taels|taels, plural de tael (peso chinês de prata, usado como moeda)|o
agreeable|agradável; disposto a concordar|o;o
attire|traje, vestimenta|o
innocently|inocentemente, sem culpa; ingenuamente|o;o
trifle|ninharia, bobagem; a trifle: um pouco, ligeiramente; trifle with: não levar a sério, brincar com; pavê (sobremesa em camadas)|o;n;n;o
earnest|sério, sincero; in earnest: a sério, para valer|o;n
teammate|colega de equipe|o
licking|lambendo, gerúndio de lick; surra, derrota|o;o
glint|cintilar, reluzir; lampejo, brilho rápido|v;o
concubine|concubina|o
plainly|claramente, obviamente; simplesmente|o;o
fiercely|ferozmente, intensamente|o
fiery|ardente, de fogo; fogoso, esquentado|o;o
impatience|impaciência|o
pavement|calçada (Reino Unido); pavimento, asfalto (EUA)|o;o
thine|o teu, a tua (com thou); teu, tua (com thou)|o;o
anguish|angústia, grande sofrimento|o
converse|conversar; o oposto, o inverso|v;o
slumber|sono|o
swirl|girar, rodopiar; redemoinho, movimento em espiral|v;o
tho|embora, mas (coloq., = though)|o
woah|opa!, uau! (coloq., = whoa)|o
throb|latejar, pulsar (de dor); latejo, pulsação|v;o
comfortably|confortavelmente; com facilidade, folgadamente|o;o
apprehension|apreensão, receio; compreensão; prisão, captura|o;o;o
bewilder|desnortear, confundir completamente|v
patiently|com paciência, calmamente|o
taunt|provocar, zombar de; provocação, insulto|v;o
traveller|viajante|o
lewd|obsceno, indecente|o
hoarse|rouco|o
impatiently|impacientemente, com inquietação|o
quirk|mania, peculiaridade; to quirk (a brow, the lips): torcer levemente, arquear|o;v
sarcastically|sarcasticamente, com ironia|o
fluffy|fofo, macio e leve|o
coachman|cocheiro|o
linen|linho (tecido); roupa de cama e mesa|o;o
disgusted|enojado, com nojo|o
frightful|terrível, chocante; enorme, tremendo|o;o
dwelling|moradia, habitação; morando, gerúndio de dwell|o;o
graceful|gracioso, elegante|o
hoodie|moletom com capuz|o
recollect|lembrar, recordar|v
breathless|sem fôlego, ofegante; muito empolgado|o;o
gallop|galopar; galope|v;o
sprint|correr a toda velocidade (distância curta); corrida curta de velocidade|v;o
weakly|fracamente, sem força|o
irritation|irritação, aborrecimento; irritação da pele|o;o
affectionate|carinhoso, afetuoso|o
doubtless|sem dúvida, provavelmente|o
perplex|deixar perplexo, confundir|v
damsel|donzela, moça solteira|o
archdeacon|arquidiácono (alto clérigo abaixo do bispo)|o
cringe|encolher-se (de medo); sentir vergonha alheia, constranger-se|v;v
hesitant|hesitante, indeciso|o
slender|esbelto, magro; pequeno, escasso (a slender chance)|o;o
thyself|tu mesmo, ti mesmo (com thou)|o
coarse|áspero, grosso; grosseiro, vulgar|o;o
instinctively|instintivamente, sem pensar|o
governess|governanta, preceptora|o
corral|curral; reunir, arrebanhar|o;v
energetic|enérgico, cheio de energia|o
lovingly|com amor, carinhosamente|o
sincerity|sinceridade|o
gape|olhar boquiaberto; estar escancarado|v;v
ruffle|despentear, eriçar (cabelo, penas); perturbar, irritar; babado|v;v;o
stout|gordo, robusto; forte, valente; stout (cerveja escura)|o;o;o
extinguish|apagar (fogo, luz); extinguir, acabar com|v;v
brunette|morena (mulher de cabelo castanho-escuro)|o
gallant|valente, corajoso; galante, cortês com as mulheres|o;o
mischief|travessura, arte; dano, encrenca|o;o
effortlessly|sem esforço, com facilidade|o
entreat|suplicar, implorar|v
exhaustion|exaustão, cansaço extremo; esgotamento (de recursos)|o;o
icy|gelado, coberto de gelo; frio, hostil|o;o
palpable|palpável (tão forte que quase se pode tocar); evidente, óbvio|o;o
visibly|visivelmente|o
glimmer|tremeluzir, brilhar fracamente; luz fraca, lampejo; sinal, vislumbre (a glimmer of hope)|v;o;o
lodging|hospedagem, quarto alugado; hospedando, gerúndio de lodge|o;o
monstrous|monstruoso, enorme e assustador; escandaloso, absurdo|o;o
hone|afiar, amolar; aperfeiçoar (uma habilidade)|v;v
armour|armadura|o
eyelid|pálpebra|o
yonder|ali adiante, aquele (lá longe)|o
exude|exalar, verter (cheiro, líquido); transbordar, esbanjar (confiança, charme)|v;v
relish|saborear, apreciar muito; grande prazer, gosto; molho, conserva (picles)|v;o;o
stoop|abaixar-se, curvar-se; rebaixar-se (moralmente); degraus da entrada (EUA)|v;v;o
attentively|atentamente|o
blurt|deixar escapar, falar sem pensar (geralmente blurt out)|v
disposition|temperamento, índole; disposição, arranjo|o;o
earnestly|seriamente, sinceramente|o
painfully|dolorosamente, com dor; extremamente (painfully slow)|o;o
uneasiness|inquietação, desconforto|o
probable|provável|o
agitation|agitação, nervosismo; agitação (ato de sacudir, mexer); mobilização, campanha|o;o;o
frantically|freneticamente, desesperadamente|o
furiously|furiosamente, com muita raiva; com grande energia|o;o
sternly|severamente, com rigor|o
bitterly|amargamente (com ressentimento ou dor); intensamente (bitterly cold)|o;o
hitherto|até agora, até então|o
unison|in unison: em uníssono, todos juntos|n
valiant|valente, corajoso|o
timid|tímido, medroso|o
afar|from afar: de longe; longe, ao longe|n;o
audible|audível|o
brim|borda (de copo), aba (de chapéu); transbordar, estar cheio (brim with)|o;v
enjoyment|prazer, diversão|o
mana|mana (poder mágico, energia em fantasia e jogos)|o
oblivious|alheio, sem perceber|o
brighten|iluminar(-se), clarear, alegrar(-se)|v
hehe|(risadinha)|g
implore|implorar, suplicar|v
involuntarily|involuntariamente, sem querer|o
ornament|enfeite, objeto decorativo|o
radiate|irradiar(-se) a partir de um centro; emitir (calor, luz); transbordar, exibir claramente (alegria)|v;v;v
allure|atrativo, encanto|o
exasperate|exasperar, irritar muito|v
fortnight|quinzena, duas semanas|o
helplessly|sem poder evitar, impotente|o
overflow|transbordar; estar lotado, abarrotado|v;v
scorn|desprezo, desdém; desprezar, tratar com desdém|o;v
elegance|elegância|o
pleading|súplica; suplicando, gerúndio de plead|o;o
reappear|reaparecer|v
lowly|humilde, de baixa posição|o
steamer|navio a vapor; panela de cozimento a vapor|o;o
tint|tom, matiz; tingir levemente|o;v
tranquil|tranquilo, sereno|o
bedside|cabeceira (lado da cama)|o
chivalry|cavalheirismo (cortesia, sobretudo do homem com a mulher); cavalaria (código dos cavaleiros)|o;o
drape|cobrir com pano solto; pousar, deixar cair (de modo solto); cortina|v;v;o
footman|lacaio (criado de libré)|o
hurl|arremessar com força; lançar, gritar (insultos)|v;v
intertwine|entrelaçar(-se), ligar estreitamente|v
nostril|narina|o
scrunch|amassar, amarrotar; franzir, contrair (o rosto)|v;v
abyss|abismo (buraco muito fundo); desastre, situação sem saída|o;o
cheerfully|alegremente, de bom grado|o
distinctly|claramente, nitidamente; decididamente, sem dúvida|o;o
drench|encharcar, ensopar|v
embroider|bordar; enfeitar, aumentar (uma história com detalhes falsos)|v;v
feeble|fraco, débil|o
gloom|escuridão; tristeza, melancolia|o;o
heartily|calorosamente, sinceramente; com entusiasmo, com vontade (eat heartily); muito, totalmente (heartily sick of)|o;o;o
newfound|recém-descoberto, recém-adquirido|o
sweetly|docemente, com gentileza|o
troublesome|problemático, incômodo|o
monseigneur|monsenhor (título francês de príncipe ou bispo)|o
quilt|colcha acolchoada, edredom|o
winding|sinuoso, cheio de curvas (a winding road); enrolando, dando corda, gerúndio de wind|o;o
avail|to no avail: em vão, sem sucesso; to avail oneself of: valer-se de, aproveitar|n;n
beckon|chamar com um gesto, acenar para que venha; atrair|v;v
befall|acontecer a, suceder (algo ruim)|v
complexion|tez, pele do rosto; caráter, natureza|o;o
ignite|acender, incendiar(-se); despertar, provocar (um sentimento)|v;v
muscular|musculoso; muscular (dos músculos)|o;o
parting|separação, despedida; risca (do cabelo)|o;o
perk|benefício, regalia (de um emprego); perk up: animar-se, reanimar-se|o;n
remembrance|lembrança, memória; homenagem, comemoração|o;o
smug|presunçoso, convencido|o
commotion|tumulto, alvoroço|o
morph|transformar-se aos poucos|v
confidently|com confiança, confiantemente|o
multitude|grande número, multidão de; multidão, povo|o;o
rosy|rosado; promissor, otimista|o;o
tapestry|tapeçaria|o
throng|multidão; aglomerar-se em, lotar|o;v
bridal|nupcial, de noiva|o
goblin|duende, gnomo malvado|o
personage|personalidade, figura importante|o
temperament|temperamento, índole; gênio instável, tendência a mudar de humor|o;o
unspoken|implícito, subentendido|o
whither|para onde|o
displease|desagradar, aborrecer|v
recoil|recuar (de medo ou nojo); coice, recuo (de uma arma)|v;o
respectful|respeitoso|o
armchair|poltrona|o
boar|javali; porco macho, varrão|o;o
clad|vestido, coberto|o
dragoon|dragão (soldado de cavalaria); forçar, obrigar (a fazer algo)|o;v
glisten|brilhar, reluzir (algo molhado)|v
lackey|lacaio, criado; capacho, puxa-saco|o;o
plop|cair com um leve chape; sentar-se pesadamente, largar-se|v;v
procure|obter, conseguir|v
railing|grade, corrimão|o
ramble|divagar, falar sem rumo; fazer caminhada pelo campo|v;v
dedication|dedicação, empenho; dedicatória|o;o
exertion|esforço (físico ou mental)|o
thither|para lá|o
cavern|caverna, gruta|o
facade|fachada (frente de um prédio); fachada, aparência falsa|o;o
harshly|severamente, com dureza|o
whirl|girar rapidamente, rodopiar; turbilhão, correria|v;o
alt|alternativo (alt-rock, alt-right); tecla Alt|o;o
coax|persuadir com jeito, convencer com carinho|v
fragrance|fragrância, aroma agradável; perfume|o;o
honourable|honrado, digno de respeito; (título de certas autoridades) excelentíssimo|o;g
immensely|imensamente, extremamente|o
leisurely|sem pressa, tranquilo|o
muse|refletir, ponderar, dizer pensativo; musa, fonte de inspiração|v;o
neatly|com capricho, arrumadamente; habilmente|o;o
stiffen|enrijecer, ficar tenso|v
tenderly|com ternura, carinhosamente|o
thoughtfully|pensativamente; com consideração, atenciosamente|o;o
droop|cair, pender, murchar|v
coldness|frio, falta de calor; frieza|o;o
continually|continuamente, repetidamente|o
encouragement|incentivo, encorajamento, apoio|o
intricate|intrincado, complexo, detalhado|o
sarcastic|sarcástico|o
bulge|inchar, fazer volume, estufar; volume, protuberância|v;o
drool|babar; drool over: babar por, desejar demais|v;n
etch|gravar (um desenho numa superfície); gravar, fixar (etched in memory)|v;v
exceedingly|extremamente|o
aroma|aroma, cheiro agradável|o
dusk|crepúsculo, anoitecer|o
saliva|saliva, cuspe|o
vex|irritar, aborrecer, preocupar|v
wildly|descontroladamente, freneticamente; extremamente|o;o
bitterness|amargura, ressentimento; amargor, gosto amargo|o;o
curling|enrolando, cacheando, gerúndio de curl; curling (esporte de inverno com pedras no gelo)|o;o
graze|pastar; arranhar, esfolar de leve; beliscar, petiscar|v;v;v
indignation|indignação|o
nervousness|nervosismo, ansiedade|o
parlour|sala de estar; salão, loja (beauty parlour, ice-cream parlour)|o;o
promptly|imediatamente, prontamente; pontualmente|o;o
amiable|amável, simpático|o
confide|confiar (um segredo), confidenciar|v
interruption|interrupção, pausa; ato de interromper|o;o
intoxicate|embriagar; inebriar, entusiasmar muito|v;v
teleport|teletransportar(-se)|v
emissary|emissário, enviado|o
feign|fingir, simular|v
huddle|amontoar-se, encolher-se juntos (para se aquecer ou se proteger); grupinho, roda|v;o
weaving|tecelagem; tecendo, gerúndio de weave|o;o
dismay|consternação, desânimo; consternar, desanimar|o;v
gateway|portão, entrada; porta, caminho (para algo)|o;o
repose|repouso, descanso; repousar, descansar, jazer|o;v
volleyball|vôlei, voleibol|o
engross|absorver, prender a atenção de (geralmente engrossed in)|v
horseback|on horseback: a cavalo, montado|n
idk|sei lá, não sei (coloq.)|f1s
lunge|lançar-se para a frente, dar um bote (para atacar ou agarrar); investida, bote|v;o
resemblance|semelhança, parecença|o
saber|sabre|o
savor|saborear, apreciar devagar|v
d'état|coup d'état: golpe de Estado|n
joyful|alegre, radiante|o
subside|diminuir, abrandar; afundar, ceder (terreno)|v;v
ascertain|apurar, verificar, certificar-se de|v
beforehand|de antemão, antes, com antecedência|o
calmness|calma, tranquilidade|o
fleeting|fugaz, passageiro|o
gravely|gravemente, seriamente|o
lol|kkk (risada; indica piada) (coloq.)|o
politeness|educação, boas maneiras, cortesia|o
suspiciously|com desconfiança; de modo suspeito|o;o
blankly|sem expressão, com olhar vazio|o
gracefully|com elegância, graciosamente; com boa educação, elegantemente|o;o
jokingly|de brincadeira|o
obediently|obedientemente|o
pronoun|pronome (he, she, it)|o
unconsciously|inconscientemente, sem perceber|o
waver|hesitar, vacilar; tremular, oscilar|v;v
craving|desejo intenso, vontade; desejando, gerúndio de crave|o;o
gnaw|roer; atormentar, corroer|v;v
hind|traseiro, de trás (hind legs); corça (fêmea do veado)|o;o
musket|mosquete|o
passionately|apaixonadamente, com paixão|o
quicken|acelerar(-se); estimular, avivar|v;v
squirm|contorcer-se, remexer-se; ficar sem graça, constrangido|v;v
steward|administrador (de propriedade ou casa), mordomo; comissário de bordo|o;o
twirl|rodopiar, girar levemente|v
waistcoat|colete|o
doze|cochilar; cochilo|v;o
mantle|manto; papel, responsabilidade (take up the mantle); camada, cobertura|o;o;o
outburst|explosão, acesso (de emoção)|o
primal|primitivo, básico, instintivo|o
sarcasm|sarcasmo|o
stirring|emocionante, inspirador; primeiro sinal, despertar (de um sentimento); mexendo, gerúndio de stir|o;o;o
tingle|formigar, sentir um formigamento|v
torso|torso, tronco|o
workman|operário, trabalhador braçal|o
banter|brincadeira, provocação amigável|o
conjure|fazer aparecer por magia, conjurar; evocar, trazer à mente (conjure up)|v;v
delicacy|iguaria; delicadeza, fragilidade; tato|o;o;o
eagerness|avidez, entusiasmo, ânsia|o
gratify|agradar; satisfazer|v;v
interject|interromper com um comentário, intervir|v
islet|ilhota|o
joyous|alegre, jubiloso|o
ledge|saliência, beiral, borda (de parede, penhasco)|o
pang|pontada, aperto (de dor ou emoção)|o
shimmer|tremeluzir, cintilar|v
trample|pisotear|v
writhe|contorcer-se (de dor)|v
alight|em chamas, pegando fogo; aceso, iluminado; descer, desembarcar (de um veículo); pousar|o;o;v;v
sensibility|sensibilidade (para sentir e apreciar arte, emoção); suscetibilidade, sensibilidade|o;o
solemnly|solenemente, com seriedade|o
tentacle|tentáculo|o
dimly|fracamente, com pouca luz; vagamente|o;o
enchantment|encantamento, feitiço; encanto, deleite|o;o
forcefully|com força; com firmeza, de modo convincente|o;o
serene|sereno, tranquilo|o
torrent|torrente, correnteza; enxurrada (de palavras, insultos)|o;o
dumbfounded|pasmo, boquiaberto|o
parchment|pergaminho (material de escrita); pergaminho, documento antigo|o;o
radiant|radiante, brilhante; radiante, visivelmente feliz|o;o
scoot|ir depressa, dar uma corrida; chegar para o lado (no assento)|v;v
spar|treinar boxe; discutir de modo amigável; mastro, verga (de navio)|v;v;o
trot|trotar; trote; on the trot: seguidos, em sequência|v;o;n
tumultuous|tumultuado, agitado; confuso, turbulento|o;o
lazily|preguiçosamente, sem esforço|o
oni|oni (demônio, ogro japonês)|o
plump|rechonchudo, gordinho; plump for: optar por, escolher|o;n
seep|infiltrar-se, vazar aos poucos|v
admirable|admirável|o
boldly|corajosamente, com ousadia|o
contrive|conseguir, dar um jeito de; tramar, arquitetar|v;v
dismount|desmontar, descer (de cavalo, bicicleta)|v
dissipate|dissipar-se, dispersar; desperdiçar|v;v
gratefully|com gratidão|o
knit|tricotar; franzir (as sobrancelhas)|v;v
oppress|oprimir; pesar sobre, angustiar (a mente)|v;v
sideways|de lado, para o lado|v
tiptoe|andar na ponta dos pés; on tiptoe: na ponta dos pés|v;n
warlock|bruxo, feiticeiro|o
arcade|galeria (passagem coberta com lojas); fliperama|o;o
bellow|berrar, bradar|v
deafen|ensurdecer; ser ensurdecedor (abafar qualquer outro som)|v;v
fumble|atrapalhar-se com, manusear desajeitadamente; procurar às apalpadelas, tatear|v;v
hoist|içar, levantar (com cordas); guindaste, talha|v;o
labyrinth|labirinto|o
lifeless|sem vida, morto; sem energia, apático|o;o
upbringing|criação, educação (na infância)|o
crave|desejar ardentemente, ansiar por|v
dangle|balançar, pender solto; acenar com (como tentação)|v;v
displeasure|desagrado, descontentamento|o
dissatisfied|insatisfeito|o
faceless|sem rosto, anônimo|o
gust|rajada (de vento)|o
inexplicable|inexplicável|o
majestic|majestoso, imponente|o
overjoyed|radiante, felicíssimo|o
overpower|dominar, subjugar (pela força); sobrepujar, arrebatar|v;v
postgraduate|estudante de pós-graduação; de pós-graduação|o;o
prefect|monitor (aluno veterano com funções na escola); prefeito (alto funcionário na França, Roma antiga)|o;o
resolute|resoluto, firme|o
shawl|xale|o
striker|atacante (futebol); grevista|o;o
toga|toga|o
tracing|decalque (cópia feita por cima); traçando, rastreando, gerúndio de trace|o;o
communiqué|comunicado oficial|o
coolness|calma, sangue-frio; frieza; frescor, friozinho|o;o;o
frantic|frenético, desesperado|o
incense|incenso; enfurecer|o;v
resound|ressoar, ecoar|v
unbutton|desabotoar|v
vindicate|dar razão a, comprovar; inocentar, livrar de culpa|v;v
affectionately|carinhosamente, afetuosamente|o
braid|trançar (cabelo); trança; galão, cordão decorativo|v;o;o
edifice|edifício grande; estrutura, sistema complexo (de crenças)|o;o
entangle|enredar, emaranhar, envolver em dificuldades|v
goblet|cálice, taça com pé|o
hasty|precipitado, apressado|o
intensely|intensamente, fortemente|o
lass|moça, garota|o
rejoice|alegrar-se, regozijar-se|v
sou|soldo (antiga moeda francesa pequena); not a sou: nem um tostão|o;n
bristle|cerda, pelo duro; eriçar-se, irritar-se (ficar na defensiva); bristle with: estar cheio de, fervilhar de|o;v;n
fro|to and fro: para lá e para cá|n
irresistible|irresistível|o
luxurious|luxuoso|o
softening|abrandamento, amolecimento; amolecendo, suavizando, gerúndio de soften|o;o
sombre|escuro, sombrio; sério, grave|o;o
trance|transe|o
yeoman|pequeno proprietário rural; atendente, guarda|o;o
brainstorm|fazer um brainstorming, trocar ideias em grupo; ideia repentina, estalo|v;o
fester|infeccionar, supurar; agravar-se, remoer (ressentimento)|v;v
feverish|febril, com febre; frenético, agitado|o;o
furnace|fornalha, forno (para aquecer ou fundir metal)|o
landlady|senhoria, proprietária (que aluga quarto ou casa)|o
misty|enevoado, nebuloso; embaçado, marejado (olhos)|o;o
obedient|obediente|o
penalize|penalizar, punir; prejudicar, pôr em desvantagem|v;v
pique|melindre, despeito (orgulho ferido); despertar, aguçar (interesse, curiosidade)|o;v
vanquish|derrotar completamente, vencer|v
activation|ativação, acionamento|o
backbone|coluna vertebral, espinha dorsal; pilar, base; coragem, fibra|o;o;o
baffle|desconcertar, deixar perplexo|v
bonnet|touca (amarrada sob o queixo); capô (do carro, Reino Unido)|o;o
cabaret|cabaré (espetáculo de canto e dança em casa noturna)|o
enrage|enfurecer|v
firewood|lenha|o
fume|estar furioso, espumar de raiva; fumes: fumaça, gases nocivos|v;n
inscribe|inscrever, gravar (palavras)|v
interpose|interpor, colocar entre; intervir, interromper com|v;v
junta|junta militar|o
momentary|momentâneo, breve|o
natured|de índole de certo tipo (good-natured, ill-natured)|o
oar|remo|o
oddly|estranhamente|o
orchard|pomar|o
reverberate|reverberar, ecoar; repercutir (ter efeitos duradouros)|v;v
ridicule|ridículo, zombaria; ridicularizar, zombar de|o;v
rummage|remexer, vasculhar (bagunçando)|v
scorch|chamuscar, queimar a superfície de|v
thence|dali, de lá; por isso, daí|o;o
timidly|timidamente|o
whisker|bigode (de animal); whiskers: suíças, costeletas; by a whisker: por um triz|o;n;n
yearning|anseio, saudade, desejo forte; ansiando, gerúndio de yearn|o;o
beset|assolar, atormentar (beset by problems)|v
conjecture|conjectura, suposição; conjecturar, supor|o;v
epiphany|epifania, revelação repentina; Epifania, Dia de Reis (6 de janeiro)|o;o
excerpt|trecho, excerto (de livro, filme)|o
flux|fluxo, mudança constante|o
galley|cozinha de navio; galé (navio antigo a remo)|o;o
hither|para cá; hither and thither: para lá e para cá|o;n
jag|ponta afiada; acesso, crise (a crying jag)|o;o
mesmerize|hipnotizar, fascinar completamente|v
porridge|mingau de aveia|o
reframe|reformular, ver sob outro ângulo|v
sorceress|feiticeira, bruxa|o
abdomen|abdome, barriga|o
eccentric|excêntrico, estranho; pessoa excêntrica|o;o
hem|bainha; hem in: cercar, confinar|o;n
panacea|panaceia|o
reorganize|reorganizar|v
replay|repetir, reprisar; replay, reprise (gravação)|v;o
seriousness|seriedade|o
shroud|mortalha; encobrir, envolver|o;v
talon|garra (de ave de rapina)|o
viceroy|vice-rei|o
weariness|cansaço, fadiga|o
attentive|atento; atencioso, solícito|o;o
attractiveness|atratividade, charme|o
canteen|cantina, refeitório; cantil|o;o
capitalization|uso de maiúsculas; capitalização de mercado (valor de uma empresa)|o;o
carelessly|descuidadamente, sem cuidado|o
commune|comunidade (que vive e compartilha em conjunto); comungar, estar em sintonia (commune with nature)|o;v
disseminate|disseminar, divulgar|v
flagship|carro-chefe, principal; nau capitânia|o;o
garde|avant-garde: vanguarda, de vanguarda|n
macroeconomics|macroeconomia|o
merrily|alegremente|o
novella|novela (romance curto)|o
proclamation|proclamação|o
purposely|de propósito, propositalmente|o
reconnect|reconectar, voltar a ligar|v
repudiate|repudiar, rejeitar, negar|v
rigidity|rigidez; inflexibilidade|o;o
standpoint|ponto de vista|o
startup|startup, empresa nova|o
stubbornly|teimosamente, obstinadamente|o
unmarried|solteiro|o
wiggle|remexer, mexer-se com pequenos movimentos|v
adolescence|adolescência|o
amygdala|amígdala (parte do cérebro ligada à emoção e ao medo)|o
assertiveness|assertividade, firmeza|o
braille|braile|o
curator|curador (de museu ou coleção)|o
deflect|desviar|v
desolate|desolado, deserto e sombrio; infeliz, solitário|o;o
developmental|do desenvolvimento, de crescimento|o
dune|duna|o
estimation|avaliação, opinião; estimativa|o;o
ethos|ethos, espírito, conjunto de valores (de um grupo)|o
exclamation|exclamação|o
fidget|remexer-se, ficar inquieto|v
fragrant|perfumado, cheiroso|o
freshen|refrescar; freshen up: lavar-se, dar um trato na aparência|v;n
frock|vestido|o
habitable|habitável|o
influenza|gripe, influenza|o
intentionally|intencionalmente, de propósito|o
litre|litro|o
modesty|modéstia; recato, pudor|o;o
ointment|pomada|o
olé|olé!, bravo! (aplauso)|o
pendant|pingente|o
redden|avermelhar, ficar vermelho; corar|v;v
repressor|repressor (proteína que bloqueia a atividade de um gene)|o
residency|residência, moradia; residência (médica), programa de residência artística|o;o
retrospective|retrospectivo; retrospectiva (exposição da obra de um artista)|o;o
rhetorical|retórico; rhetorical question: pergunta retórica|o;n
satin|cetim|o
saxophone|saxofone|o
shrill|estridente, agudo|o
sprinkle|salpicar, polvilhar, borrifar|v
stillness|quietude, silêncio, imobilidade|o
sulk|ficar emburrado, amuar|v
sweetness|doçura|o
toddler|criança pequena (que está aprendendo a andar)|o
transformational|transformador|o
troupe|trupe, companhia (de artistas)|o
turbine|turbina|o
validity|validade, solidez|o
whirlwind|redemoinho de vento, turbilhão; relâmpago, vertiginoso (a whirlwind romance)|o;o
acronym|sigla, acrônimo (NATO)|o
appeasement|apaziguamento, política de concessões|o
biographer|biógrafo|o
bloat|inchar|v
captivity|cativeiro|o
carefree|despreocupado|o
ceremonial|cerimonial, formal|o
contraception|contracepção|o
defunct|extinto, que não funciona mais|o
disagreeable|desagradável; mal-humorado|o;o
doubtful|duvidoso, incerto; improvável|o;o
excavate|escavar, desenterrar|v
excursion|excursão, passeio|o
extradition|extradição|o
factual|factual, baseado em fatos|o
fend|fend off: defender-se de, repelir; fend for oneself: virar-se sozinho|n;n
freight|carga, frete|o
frontline|linha de frente (combate); da linha de frente (frontline workers)|o;o
geostrategic|geoestratégico|o
glut|excesso de oferta, saturação|o
homegrown|local, de produção própria|o
incorrect|incorreto, errado|o
indignant|indignado|o
intellect|intelecto|o
isolationist|isolacionista|o
memorable|memorável|o
midterm|meio do mandato ou do semestre letivo; eleição de meio de mandato (EUA)|o;o
misinformation|desinformação, informação falsa|o
monsoon|estação das chuvas (Sul da Ásia); monção|o;o
mound|montículo, pequena colina; monte, pilha|o;o
muzzle|focinho; focinheira; boca (do cano de uma arma)|o;o;o
overcapacity|excesso de capacidade|o
overshadow|ofuscar, eclipsar; fazer sombra sobre, ensombrar|v;v
parental|dos pais, parental|o
prominently|em destaque, de forma visível; de modo importante|o;o
recursively|recursivamente|o
refreshment|comes e bebes, lanche; revigoramento|o;o
renegotiation|renegociação|o
retrain|requalificar(-se), reciclar (para novo emprego)|v
therapeutic|terapêutico; relaxante, bom para a mente|o;o
trafficker|traficante (de drogas, pessoas)|o
unseen|invisível, oculto|o
valour|valor, bravura|o
warhead|ogiva|o
wasteful|esbanjador, que desperdiça|o
watchman|vigia (sobretudo noturno)|o
windfall|ganho inesperado, sorte grande; fruta derrubada pelo vento|o;o
yeast|fermento, levedura|o
beatboxing|beatbox (percussão feita com a boca)|o
broccoli|brócolis|o
coexistence|coexistência, convivência pacífica|o
defilade|desenfiamento (proteção do terreno contra o fogo inimigo)|o
disparate|díspar, muito diferente|o
eel|enguia|o
ethereal|etéreo, delicado, celestial|o
fingertip|ponta do dedo|o
formulation|formulação (de um plano, uma teoria); fórmula, composição (de um remédio)|o;o
humane|humano, humanitário, compassivo|o
intentional|intencional, deliberado|o
lightbulb|lâmpada|o
luminous|luminoso, que brilha no escuro|o
malice|malícia, maldade, intenção de prejudicar|o
maxim|máxima|o
measurable|mensurável; perceptível, significativo|o;o
moist|úmido|o
mythical|mítico; imaginário|o;o
nicotine|nicotina|o
packaging|embalagem|o
regenerative|regenerativo|o
toil|labutar, trabalhar duro; labuta, trabalho duro|v;o
unimaginable|inimaginável|o
unreal|irreal, onírico; inacreditável (coloq.)|o;o
warship|navio de guerra|o
youthful|jovem, juvenil; jovial, de aparência jovem|o;o
altruism|altruísmo|o
anamorph|anamorfose (imagem distorcida que parece normal de certo ângulo)|o
anesthesia|anestesia|o
attainment|conquista, realização|o
bilingual|bilíngue|o
canoe|canoa|o
coastline|litoral, costa|o
comedic|cômico, de comédia|o
commemoration|comemoração, homenagem|o
coolly|calmamente, com frieza (serenidade); friamente, sem simpatia|o;o
detach|separar, soltar, destacar|v
dignify|dignificar, dar importância a|v
dribble|babar; escorrer, gotejar; driblar, conduzir a bola|v;v;v
egregious|flagrante, escandaloso|o
entreaty|súplica, apelo|o
fashionable|na moda, elegante|o
feral|selvagem, asselvajado (animal antes doméstico)|o
graphical|gráfico|o
gush|jorrar; derreter-se em elogios|v;v
homage|homenagem|o
homophobia|homofobia|o
interchange|intercâmbio, troca; trevo, entroncamento rodoviário|o;o
intuitively|intuitivamente|o
millet|painço, milhete|o
mouthful|bocado; palavrão (palavra longa e difícil de dizer)|o;o
narrowing|estreitamento; estreitando, gerúndio de narrow|o;o
northward|rumo ao norte|o
notification|notificação, aviso|o
pest|praga; chato, peste (pessoa irritante)|o;o
puberty|puberdade|o
pulp|polpa, massa mole; literatura barata (pulp fiction)|o;o
radicalization|radicalização|o
recreation|recreação, lazer|o
residual|residual, restante|o
