# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
toga|loose robe of ancient Rome|o
tolerant|accepting of others|o
tracing|copy made by drawing over; tracing, present participle of trace|o;o
trickle|thin flow; to flow slowly|o;v
underwrite|to guarantee financially|v
witchcraft|magic|o
yarn|thread for knitting; long story|o;o
antisemitism|hostility towards Jews|o
atop|on top of|o
audacious|bold, daring|o
axon|long fibre of a nerve cell|o
bloodstream|blood circulating in the body|o
cassette|small tape case for audio|o
communiqué|official statement|o
coolness|calmness; unfriendliness; slight cold|o;o;o
dwindle|to decrease gradually|v
endowment|donated funds; natural ability|o;o
fallacy|mistaken belief, faulty reasoning|o
frantic|wild with worry or hurry|o
harden|to make or become hard|v
incense|substance burnt for a sweet smell; to make very angry|o;v
incidence|rate of occurrence|o
liter|metric unit of volume|o
nuanced|showing subtle differences|o
penetration|entering; market share achieved|o;o
precipitation|rain, snow; separating a solid from a liquid|o;o
presuppose|to assume beforehand|v
resound|to echo, to be filled with sound|v
skeletal|relating to the skeleton; very thin|o;o
slimy|covered in slime; unpleasantly flattering|o;o
streamline|to simplify, to make more efficient|v
trustee|person managing property for others|o
unbutton|to undo the buttons of|v
unfettered|unrestricted|o
untenable|impossible to defend|o
vindicate|to prove right; to clear of blame|v;v
visionary|imaginative, forward-looking; person with bold ideas for the future|o;o
affectionately|lovingly, fondly|o
aggregator|website or service that collects content from many sources|o
aortic|relating to the aorta, the main artery|o
applicant|person applying for something|o
appropriately|suitably, properly|o
barley|cereal grain used for food and beer|o
biomass|plant and animal material used as fuel; total mass of living things|o;o
blockbuster|hugely successful film or book|o
braid|to plait (hair); plait; decorative cord|v;o;o
brunt|main force (of an impact), the worst part|o
conceptual|relating to ideas or concepts|o
conglomerate|large company made up of many businesses|o
discard|to throw away, to get rid of|v
draconian|extremely harsh|o
edifice|large building; complex system (of beliefs)|o;o
entangle|to tangle up, to involve in difficulties|v
exponentially|at an ever-increasing rate|o
feeder|thing that supplies or feeds (a road, school, device)|o
flavour|taste|o
forage|to search for food|v
goblet|drinking cup with a stem|o
hasty|done too quickly, rash|o
intensely|extremely, strongly|o
inversion|turning upside down, reversal|o
lass|girl, young woman|o
mastery|great skill; control|o;o
orchestrate|to organise, to coordinate; to arrange music for an orchestra|v;v
overstate|to exaggerate|v
polity|political community, state|o
prequel|story set before an earlier one|o
procession|people moving in a line, parade|o
propagate|to spread; to breed (plants)|v;v
rejoice|to feel or show great joy|v
slime|thick slippery substance|o
sou|small old French coin; not a sou: no money at all|o;n
stowaway|person hiding on a ship or plane to travel free|o
unhealthy|bad for health; ill|o;o
viewpoint|opinion, point of view|o
aluminium|light silvery metal|o
anal|relating to the anus; excessively fussy|o;o
biotechnology|use of living organisms in industry and medicine|o
bristle|short stiff hair; to become angry or defensive; bristle with: to be full of|o;v;n
cipher|secret code; person of no importance|o;o
cleric|religious leader, priest|o
constructor|builder; function that creates an object in programming|o;o
crest|top of a hill or wave; emblem of a family|o;o
discriminate|to treat unfairly; to distinguish|v;v
fibre|thread; roughage in food|o;o
fro|to and fro: back and forth|n
hiatus|pause, break|o
inclusiveness|including everyone|o
insure|to protect with insurance; to make sure|v;v
irresistible|too attractive or strong to resist|o
jihadists|jihadists, plural of jihadist|o
lengthy|long|o
lineup|list of participants; row of suspects|o;o
luxurious|very comfortable and expensive|o
melioidosis|tropical bacterial infection|o
mew|to make a cat's high cry|v
mil|million; thousandth of an inch|o;o
notoriously|famously for something bad|o
outgoing|friendly, sociable; leaving office|o;o
pinnacle|highest point|o
posting|online message; job assignment|o;o
pushover|person easily persuaded; easy task|o;o
reliant|dependent|o
softening|becoming softer or gentler; softening, present participle of soften|o;o
sombre|dark, gloomy; serious|o;o
stint|period of work|o
trance|dreamlike state|o
vigorously|energetically|o
yeoman|farmer owning his own land; attendant, guard|o;o
aaah|exclamation of pain, fear or relief|o
abruptly|suddenly|o
brainstorm|to come up with ideas as a group; sudden idea|v;o
cartoonist|person who draws cartoons|o
categorize|to put into groups|v
corpus|collection of texts|o
environmentalist|person who protects the environment|o
fester|to become infected; to grow worse (resentment)|v;v
feverish|having a fever; frantic, excited|o;o
firstly|first, to begin with|o
furnace|very hot enclosed fire (for heating, melting metal)|o
hinge|joint on which a door swings; to depend on|o;v
hubris|arrogant overconfidence|o
hydrocarbon|compound of hydrogen and carbon, e.g. oil or gas|o
hypothetical|imagined, supposed|o
induction|introduction into a role; reasoning from examples; producing electricity by a magnetic field|o;o;o
infinitely|without limit; enormously|o;o
landlady|woman who rents out a room or house|o
mesh|net-like material; to fit together|o;v
metabolism|chemical processes in the body|o
misty|full of mist; blurred (eyes)|o;o
nationalize|to put under state ownership|v
niner|nine (in radio speech)|o
obedient|doing as told|o
overarching|all-embracing, overall|o
papal|relating to the Pope|o
paramilitary|organised like an army but not official|o
penalize|to punish; to put at a disadvantage|v;v
pique|irritation from hurt pride; to arouse (interest, curiosity)|o;v
procedural|relating to procedure|o
reelection|being elected again|o
vanquish|to defeat completely|v
visibility|how clearly something can be seen; public attention|o;o
vocational|relating to job skills|o
worthwhile|worth the effort|o
accidental|happening by chance|o
activation|making active, starting up|o
arrogance|excessive pride|o
avant|(in avant-garde) new and experimental|o
backbone|spine; main support; courage|o;o;o
baffle|to puzzle completely|v
blockchain|shared digital ledger of transactions|o
bonnet|hat tied under the chin; cover over a car's engine (UK)|o;o
browse|to look through casually; to view websites|v;v
brutally|savagely; bluntly|o;o
cabaret|entertainment of songs and dancing in a nightclub|o
checklist|list of items to check|o
conundrum|puzzle, dilemma|o
conversely|on the other hand|o
countercyclical|acting against the economic cycle|o
covert|secret|o
cubic|relating to volume; cube-shaped|o;o
dandy|man overly concerned with fashion; fine, excellent|o;o
disarray|disorder|o
emblem|symbol, badge|o
emitter|thing that gives off (light, pollution)|o
enrage|to make very angry|v
expulsion|forcing out|o
firewood|wood for burning|o
flowering|blooming; peak development|o;o
fray|fight, conflict; to wear thin at the edge|o;v
fume|to be very angry; fumes: smoky or harmful gas|v;n
gridlock|traffic jam; political deadlock|o;o
inscribe|to write or carve (words) on something|v
interpose|to put between; to interrupt with|v;v
junta|military group ruling after seizing power|o
labourer|manual worker|o
lastly|finally|o
locality|area, neighbourhood|o
momentary|brief|o
nano|very small; one billionth|o;o
natured|having a nature of a stated kind (good-natured, ill-natured)|o
negation|denial, contradiction|o
oar|pole with a flat blade for rowing|o
oddly|strangely|o
orchard|field of fruit trees|o
outperform|to do better than|v
pathology|study of disease; abnormal condition|o;o
predatory|hunting others; exploiting others|o;o
pseudo|false, pretended|o
redistributive|reallocating wealth|o
relentlessly|without stopping|o
reverberate|to echo; to have lasting effects|v;v
ridicule|mockery; to mock|o;v
rummage|to search untidily|v
scorch|to burn the surface of|v
singular|referring to one; unusual|o;o
socio|social|o
sprawl|uncontrolled spread of a city; to spread out|o;v
supercomputer|extremely powerful computer|o
thence|from there; for that reason|o;o
timidly|shyly, nervously|o
turbulent|unstable, chaotic|o
ultrasound|sound waves used to see inside the body|o
unwanted|not desired|o
urinate|to pass urine|v
whisker|hair on an animal's face; whiskers: hair on a man's cheeks; by a whisker: by a very small margin|o;n;n
yearning|strong longing; yearning, present participle of yearn|o;o
adversity|hardship|o
alot|a lot (common misspelling)|o
antagonism|hostility|o
beset|to trouble persistently (beset by problems)|v
beverage|drink|o
cheaply|at low cost|o
combatant|fighter|o
commute|to travel regularly to work; to reduce (a sentence)|v;v
conjecture|a guess; to guess|o;v
costing|estimate of cost|o
democratize|to make democratic, to open to all|v
epiphany|sudden realization; Christian feast of the Magi (6 January)|o;o
estrogen|female sex hormone|o
excerpt|short extract (from a book, a film)|o
faire|(in laissez-faire) leaving the economy free from state interference|o
fluorescent|glowing brightly|o
flux|continual change|o
frontal|at the front; direct|o;o
galley|ship's kitchen; ancient ship rowed by oars|o;o
geoengineering|large-scale deliberate change to the climate|o
hallmark|distinctive feature|o
hither|to here; hither and thither: here and there|o;n
humorous|funny|o
initialize|to set to a starting value|v
investigative|investigating, probing|o
jag|sharp point; bout of (a crying jag)|o;o
landfill|waste disposal site|o
mesmerize|to fascinate completely, to hypnotize|v
metabolic|relating to metabolism|o
neurological|relating to the nervous system|o
obstruct|to block|v
poof|sound of sudden disappearance|o
porridge|oats cooked in water or milk|o
proprietary|privately owned, patented|o
recourse|option for help|o
reframe|to express or see in a different way|v
remotely|from a distance; slightly (not remotely = not at all)|o;o
resistor|electrical component that limits current|o
savvy|shrewd, well-informed|o
seaweed|plants growing in the sea|o
sorceress|female magician, witch|o
staircase|set of stairs|o
statistically|by statistics|o
synonym|word with the same meaning as another|o
teleomorph|sexual reproductive stage of a fungus|o
tenor|high male singing voice; general tone|o;o
terminology|specialist words|o
tremendously|enormously|o
unfamiliar|not known|o
vivid|bright, intense; clear|o;o
abdomen|belly|o
armistice|ceasefire agreement|o
aviator|pilot|o
breakout|escape; sudden success|o;o
chevron|V-shaped stripe|o
cognac|French brandy|o
colonization|settling and taking control of a territory|o
decorative|ornamental|o
descriptive|describing|o
desperation|despair, hopelessness|o
eastward|towards the east|o
eccentric|odd, unconventional; strange person|o;o
enclose|to surround; to put in an envelope|v;v
flashback|scene from the past; sudden vivid memory|o;o
gymnastic|relating to gymnastics|o
hem|folded-down edge of cloth; hem in: to surround, to restrict|o;n
hoax|trick, deception|o
humanist|person valuing human reason over religion|o
hype|exaggerated publicity|o
inference|conclusion drawn from evidence|o
jest|joke|o
ledger|book of accounts|o
limestone|rock made of calcium carbonate|o
modernist|relating to modernism|o
mountainous|having many mountains|o
omit|to leave out|v
panacea|cure for everything|o
playoff|deciding game in a series|o
preferential|favouring some over others|o
reassert|to state or claim again|v
reorganize|to organize again or differently|v
replay|to play again; recording played again|v;o
secularism|separation of religion and state|o
seriousness|being serious|o
shroud|cloth wrapped round a corpse; to cover, to hide|o;v
stature|height; reputation|o;o
suffix|letters added to the end of a word|o
taint|to contaminate; to spoil|v;v
talon|claw (of a bird of prey)|o
terrestrial|relating to earth or land|o
undeniable|certainly true|o
unpaid|not paid|o
unsuccessfully|without success|o
viceroy|ruler of a colony on behalf of a monarch|o
weariness|tiredness|o
academia|world of universities and research|o
adulthood|being adult|o
attentive|paying close attention; caring, considerate|o;o
attractiveness|being attractive|o
baseline|starting point for comparison|o
canteen|workplace or school dining room; water bottle|o;o
capitalization|use of capital letters; market value of a company|o;o
carelessly|without care|o
commune|group living together and sharing; to communicate closely (commune with nature)|o;v
continuum|continuous sequence|o
cornerstone|foundation, basic element|o
cortisol|stress hormone|o
cryptocurrencies|cryptocurrencies, plural of cryptocurrency|o
dildo|sex toy shaped like a penis|o
disseminate|to spread (information) widely|v
flagship|best or most important of a group; admiral's ship|o;o
garde|avant-garde: new and experimental (ideas, artists)|n
glamour|attractive excitement|o
lax|not strict, careless|o
macroeconomics|economics of whole economies|o
merrily|cheerfully|o
nationalistic|strongly nationalist|o
novella|short novel|o
proclamation|official public announcement|o
pronouncement|formal statement|o
purposely|on purpose|o
recapitalization|putting new capital into a company or bank|o
reconnect|to connect again|v
repudiate|to reject, to deny|v
rigidity|stiffness; inflexibility|o;o
standpoint|point of view|o
startup|new business|o
stubbornly|obstinately|o
unmarried|not married|o
wiggle|to move with small quick movements|v
adolescence|teenage years|o
amygdala|part of the brain linked to emotion and fear|o
assertiveness|confident, forceful behaviour|o
braille|writing system of raised dots for the blind|o
curator|keeper of a museum or collection|o
deflect|to turn aside|v
desolate|empty and bleak; miserable, lonely|o;o
developmental|of development or growth|o
dune|hill of sand|o
estimation|judgement, opinion; rough calculation|o;o
ethos|spirit, set of values (of a group)|o
exclamation|sudden cry or remark|o
fidget|to move restlessly|v
fragrant|sweet-smelling|o
freshen|to make fresher; freshen up: to wash and tidy oneself|v;n
frock|dress|o
habitable|fit to live in|o
influenza|flu|o
intentionally|deliberately|o
litre|metric unit of volume|o
modesty|not boasting; decency in dress and behaviour|o;o
ointment|cream for the skin|o
olé|bravo! (cheer)|o
pendant|jewel hanging from a necklace|o
redden|to become red; to blush|v;v
repressor|protein that blocks a gene's activity|o
residency|living in a place; period of training for a doctor or an artist|o;o
retrospective|looking back; exhibition of an artist's life work|o;o
rhetorical|of persuasive speaking; rhetorical question: question not expecting an answer|o;n
satin|smooth shiny cloth|o
saxophone|brass wind instrument with a reed|o
shrill|high-pitched and piercing|o
sprinkle|to scatter small drops or bits over|v
stillness|calm, silence, lack of movement|o
sulk|to be silent and bad-tempered|v
sweetness|being sweet|o
toddler|child learning to walk|o
transformational|causing great change|o
troupe|group of performers|o
turbine|machine driven by water, steam or wind|o
validity|being valid, soundness|o
whirlwind|spinning column of wind; very fast (a whirlwind romance)|o;o
acronym|word made from initials (NATO)|o
appeasement|giving in to demands to keep peace|o
biographer|writer of a biography|o
bloat|to swell up|v
captivity|being held prisoner or in a cage|o
carefree|without worries|o
ceremonial|of ceremonies, formal|o
contraception|preventing pregnancy|o
defunct|no longer existing or working|o
disagreeable|unpleasant; bad-tempered|o;o
doubtful|uncertain; unlikely|o;o
excavate|to dig up, to dig out|v
excursion|short trip|o
extradition|handing over a suspect to another country|o
factual|based on facts|o
fend|fend off: to defend against; fend for oneself: to look after oneself|n;n
freight|goods transported|o
frontline|front line of fighting; most exposed (frontline workers)|o;o
geostrategic|of geography and strategy together|o
glut|oversupply|o
homegrown|grown or produced locally|o
incorrect|wrong|o
indignant|angry at unfair treatment|o
intellect|ability to think and understand|o
isolationist|favouring non-involvement in other countries' affairs|o
memorable|worth remembering|o
midterm|middle of a term of office or school term; midterm election (US)|o;o
misinformation|false information|o
monsoon|rainy season (South Asia); heavy seasonal wind and rain|o;o
mound|small hill; heap|o;o
muzzle|nose and mouth of an animal; guard over it; end of a gun barrel|o;o;o
overcapacity|more capacity than is needed|o
overshadow|to make seem less important; to cast a shadow over|v;v
parental|of parents|o
prominently|noticeably, in a way easy to see; importantly|o;o
recursively|by repeating a process on its own results|o
refreshment|food and drink; restoring of strength|o;o
renegotiation|negotiating again|o
retrain|to train again, for a new job|v
therapeutic|healing; relaxing, good for the mind|o;o
trafficker|person who deals illegally (in drugs, people)|o
unseen|not seen, hidden|o
valour|great bravery|o
warhead|explosive head of a missile|o
wasteful|using more than needed|o
watchman|guard, especially at night|o
windfall|unexpected money or gain; fruit blown down by the wind|o;o
yeast|fungus used to make bread rise and beer ferment|o
beatboxing|making drum sounds with the mouth|o
broccoli|green vegetable with a thick stalk and flower heads|o
coexistence|living together peacefully|o
defilade|protection from enemy fire given by the ground|o
disparate|very different, not related|o
eel|long snake-like fish|o
ethereal|delicate, heavenly, unearthly|o
fingertip|end of a finger|o
formulation|creating or expressing (a plan, a theory); mixture, recipe (of a medicine)|o;o
humane|kind, compassionate|o
intentional|deliberate|o
lightbulb|glass bulb that gives electric light|o
luminous|shining, glowing in the dark|o
malice|desire to harm|o
maxim|short saying expressing a rule of conduct|o
measurable|able to be measured; noticeable|o;o
moist|slightly wet|o
mythical|of myths; imaginary|o;o
nicotine|addictive substance in tobacco|o
packaging|materials used to wrap goods|o
regenerative|able to regrow or renew|o
toil|to work hard; hard work|v;o
unimaginable|impossible to imagine|o
unreal|not real, dreamlike; unbelievable (colloq.)|o;o
warship|ship built for war|o
youthful|young; looking or feeling young|o;o
altruism|selfless concern for others|o
anamorph|distorted image that looks normal from one angle|o
anesthesia|loss of feeling, given by drugs for surgery|o
attainment|achievement|o
bilingual|speaking two languages|o
canoe|light narrow boat moved with paddles|o
coastline|edge of the land along the sea|o
comedic|of comedy, funny|o
commemoration|honouring the memory of|o
coolly|calmly; in an unfriendly way|o;o
detach|to separate, to unfasten|v
dignify|to give honour or importance to|v
dribble|to let saliva run from the mouth; to trickle; to move a ball with small touches|v;v;v
egregious|shockingly bad|o
entreaty|earnest request, plea|o
fashionable|in fashion, stylish|o
feral|wild (of an animal once tame)|o
graphical|of graphics or diagrams|o
gush|to flow out fast; to praise too enthusiastically|v;v
homage|public tribute, honour|o
homophobia|prejudice against gay people|o
interchange|exchange; road junction|o;o
intuitively|by instinct, without reasoning|o
millet|small grain crop|o
mouthful|amount that fills the mouth; long hard-to-say word|o;o
narrowing|becoming narrower; narrowing, present participle of narrow|o;o
northward|towards the north|o
notification|notice, alert|o
pest|harmful insect or animal; annoying person|o;o
puberty|time when a child's body becomes adult|o
pulp|soft wet mass; cheap sensational fiction|o;o
radicalization|becoming extreme in political or religious views|o
recreation|leisure activity, fun|o
residual|remaining, left over|o
staunch|loyal, firm; to stop (a flow of blood)|o;v
technologist|expert in technology|o
triad|group of three; Chinese criminal gang|o;o
uncommon|rare, unusual|o
unnatural|not natural, abnormal; artificial|o;o
vagabond|wanderer, tramp|o
wag|to move (a tail) from side to side; joker|v;o
whichever|any one that; no matter which|o;o
woefully|very badly, sadly (woefully inadequate)|o
wormhole|hypothetical tunnel in space-time; hole made by a worm|o;o
zinc|bluish-white metal|o
accelerator|pedal that makes a car go faster; machine that speeds up particles|o;o
adhesive|glue; sticky|o;o
ameliorate|to improve|v
analogous|similar, comparable|o
appliance|household machine (fridge, toaster)|o
astound|to astonish|v
beehive|home for bees|o
biosphere|parts of the earth where life exists|o
bowler|player who bowls (cricket); bowler hat: round black hat|o;n
changer|something that changes (game changer)|o
cheesy|cheap and sentimental, corny; of cheese|o;o
childbirth|giving birth|o
choreography|arrangement of dance steps|o
climber|person who climbs; climbing plant|o;o
coating|thin layer covering something|o
conserve|to protect, to save from waste; jam|v;o
cultivation|farming, growing crops; developing (a skill, a friendship)|o;o
cynicism|belief that people act only from self-interest|o
existent|existing|o
giver|person who gives|o
interbank|between banks|o
intro|introduction (colloq.)|o
loyalist|person who stays loyal to a ruler or government|o
monetize|to earn money from|v
orb|sphere, ball; jewelled ball carried by a monarch|o;o
outstretch|to stretch out (usu. outstretched arms)|v
ozone|form of oxygen; ozone layer: layer protecting the earth from UV rays|o;n
photosynthesis|plants' use of sunlight to make food|o
ramen|Japanese noodle soup|o
reactionary|opposed to change or reform|o
realist|practical person; realistic artist or writer|o;o
reissue|to issue again; new edition|v;o
resonance|deep, lasting sound; significance, emotional power|o;o
resurrection|coming back to life; revival|o;o
sapiens|Homo sapiens: modern human species|n
scolding|angry telling-off; scolding, present participle of scold|o;o
smoker|person who smokes|o
squarely|directly, straight; fully|o;o
stymie|to block, to obstruct|v
telomere|protective end of a chromosome|o
unanimous|with everyone agreeing|o
undocumented|not recorded; without official papers (immigrants)|o;o
attendee|person attending an event|o
backer|supporter, financial sponsor|o
blurry|unclear, blurred|o
classify|to sort into groups|v
demographics|statistics about a population|o
devotee|keen follower, fan|o
discrepancy|difference that should not exist|o
dormitory|large bedroom for many; student residence (US)|o;o
downplay|to make seem less important|v
enclosure|fenced area; document sent with a letter|o;o
endpoint|final point; device at the end of a network|o;o
executioner|person who carries out death sentences|o
haughty|arrogant, proud|o
helper|person who helps|o
inconvenient|causing trouble or difficulty|o
knave|dishonest man; jack (in cards)|o;o
laborer|manual worker|o
launcher|device for launching (rockets); program that starts apps|o;o
legation|diplomatic mission below an embassy|o
metallic|of or like metal|o
miniature|very small; small copy or painting|o;o
plentiful|in large amounts, abundant|o
procurator|official agent; governor (ancient Rome)|o;o
recruitment|finding new people (to work, to join)|o
reliably|dependably|o
satisfactory|good enough|o
serotonin|brain chemical linked to mood|o
subdivision|division into smaller parts; housing development|o;o
tumult|loud confusion, uproar|o
undemocratic|not democratic|o
unnoticed|not seen or noticed|o
valet|man's personal servant; person who parks cars|o;o
vegetation|plants|o
webpage|single page of a website|o
wring|to twist and squeeze (out water); wring one's hands: to show distress|v;n
ail|to trouble, to make ill|v
allege|to claim without proof|v
ancestral|of ancestors, inherited|o
antidepressant|drug that treats depression|o
auditorium|large hall for an audience|o
bacterium|single bacteria cell|o
bewilderment|complete confusion|o
blatant|obvious, shameless|o
bribery|giving bribes|o
budge|to move slightly; to change one's mind|v;v
citadel|fortress above a city|o
coercive|using force or threats|o
coil|loop, spiral; to wind into loops|o;v
coordinator|person who organizes|o
deficient|lacking, insufficient|o
dissatisfaction|discontent|o
divergent|different, moving apart|o
etcetera|and so on|o
fore|to the fore: into a prominent position; front|n;o
fortification|defensive wall or building; strengthening|o;o
gala|grand celebration|o
garland|ring of flowers|o
grub|food (colloq.); larva|o;o
holdout|person who refuses to agree or give up|o
immoral|wrong, wicked|o
impersonate|to pretend to be (another person)|v
interwar|between the two world wars|o
jeopardy|danger (in jeopardy)|o
knowhow|practical knowledge|o
languish|to suffer, to be neglected; to weaken|v;v
lavish|generous, luxurious; to give freely|o;v
legality|being legal|o
librarian|person in charge of a library|o
magnify|to make appear bigger|v
malicious|meaning harm|o
mammoth|huge; extinct hairy elephant|o;o
miscalculation|mistake in judgement|o
mycelium|root-like threads of a fungus|o
ohhh|oh! (drawn out: realization, surprise)|o
pane|sheet of glass in a window|o
parliamentarian|member of a parliament|o
progression|gradual development|o
promoter|organizer of events; supporter of an idea|o;o
quip|witty remark; to joke|o;v
recurrent|happening again and again|o
segregate|to separate (especially by race)|v
sentry|soldier on guard|o
shipyard|place where ships are built|o
spontaneously|without planning|o
stewardship|responsible management|o
suffragette|woman campaigning for the vote (early 20th century)|o
tycoon|powerful businessperson|o
unreliable|not dependable|o
victorious|having won|o
weighing|weighing, present participle of weigh|o
airstrike|attack by aircraft|o
applicable|relevant, that applies|o
attributable|caused by|o
bandwidth|data transfer capacity; mental capacity (colloq.)|o;o
besiege|to surround and attack; to overwhelm (with requests)|v;v
blight|plant disease; something that spoils|o;o
cavity|hollow space; hole in a tooth|o;o
diffuse|to spread out widely; spread out, not concentrated|v;o
digitally|by digital means|o
divinity|being divine; a god; theology|o;o;o
domino|small tile with dots, used in a game; domino effect: chain reaction|o;n
enthusiastically|eagerly, with great interest|o
equate|to consider as equal|v
femme|femme fatale: seductive, dangerous woman|n
feud|long bitter quarrel|o
grader|person who marks work; pupil in a stated grade (fifth grader)|o;o
greasy|covered in grease, oily|o
hearty|warm, enthusiastic; large and filling (a meal)|o;o
inflame|to make more angry or violent; to make red and swollen|v;v
insignificant|unimportant, very small|o
internship|period of work experience|o
invaluable|extremely useful|o
latch|simple lock or catch; latch onto: to attach oneself to, to seize on|o;n
loosening|loosening, present participle of loosen|o
mag|magazine (colloq.)|o
mutualization|sharing of risks or costs among members|o
odour|smell|o
overload|to load too much; too much|v;o
pollutant|substance that pollutes|o
pristine|perfectly clean, untouched|o
provocative|meant to provoke; sexually suggestive|o;o
reestablish|to establish again|v
reflective|thoughtful; reflecting light|o;o
revel|to enjoy greatly (revel in); to celebrate noisily|v;v
reverence|deep respect|o
rugged|rough, rocky; strong-featured, tough|o;o
scalable|able to grow or be expanded easily|o
skiff|small light boat|o
suicidal|wanting to kill oneself; very dangerous|o;o
taker|person who takes or accepts (risk-taker; any takers?)|o
tar|thick black sticky substance|o
timetable|schedule|o
tranquility|calm, peace|o
treacherous|disloyal; dangerous|o;o
uncomfortably|in an uncomfortable way|o
uplift|to raise, to encourage; improvement, boost of spirits|v;o
vie|to compete (vie for)|v
wasp|stinging insect with yellow and black stripes|o
anyplace|anywhere|o
bashing|harsh public criticism; bashing, present participle of bash|o;o
bridle|harness on a horse's head; to show anger, to bristle|o;v
cello|large string instrument played seated|o
cerebral|intellectual; of the brain|o;o
circumstantial|based on circumstances (circumstantial evidence)|o
clockwise|in the direction a clock's hands move|o
credibly|believably|o
cyclone|violent storm with winds spinning round|o
dearth|lack, shortage|o
denomination|religious group; value (of a coin or note)|o;o
fertilize|to make fertile; to add fertilizer to|v;v
foil|thin metal sheet; to prevent, to thwart; person who contrasts with another|o;v;o
graffito|graffiti, single piece of|o
grope|to feel about blindly; to touch sexually without consent|v;v
grossly|extremely, flagrantly|o
hermit|person living alone, apart from society|o
homesick|missing home|o
honeybee|bee that makes honey|o
illustrious|famous, distinguished|o
implosion|collapsing inward|o
ingenious|clever, inventive|o
issuer|organization that issues (shares, cards)|o
jobless|without a job|o
lapse|to become invalid; to slip (into); short failure, gap|v;v;o
literal|exact, word for word|o
millisecond|thousandth of a second|o
mite|tiny spider-like creature; small child; a mite: slightly|o;o;n
monumental|huge, very important|o
mundane|dull, ordinary|o
mythological|of mythology|o
obstinate|stubborn|o
ouster|removal from power|o
perceptual|of perception|o
pore|tiny opening in the skin; pore over: to study closely|o;n
pornographic|sexually explicit|o
quatrain|four-line verse|o
rapidity|speed|o
reassurance|comforting words, removal of doubt|o
referee|official in a sports game; person giving a reference|o;o
remarry|to marry again|v
rim|outer edge (of a cup, wheel)|o
seminal|highly influential|o
spectacularly|impressively, dramatically|o
summation|summary; adding up|o;o
symmetrical|with matching halves|o
televise|to broadcast on television|v
tertiary|third in order; of higher education|o;o
thirteenth|13th|o
tweak|to adjust slightly; to pinch and twist|v;v
unease|anxiety|o
unprepared|not ready|o
unrelated|not connected|o
validate|to confirm, to prove valid; to affirm (feelings)|v;v
vomiting|being sick; vomiting, present participle of vomit|o;o
washroom|toilet|o
westward|towards the west|o
whataboutism|answering criticism by pointing to others' faults|o
workpiece|object being worked on by a machine or tool|o
abate|to lessen, to die down|v
appointee|person appointed|o
atheism|disbelief in gods|o
averse|opposed, unwilling (averse to)|o
bluntly|directly, without tact|o
boredom|being bored|o
bottleneck|narrow point that slows things down|o
buildup|gradual increase|o
caliphate|state ruled by a caliph|o
communicable|able to be passed on (disease)|o
contingency|possible future event; contingency plan: backup plan|o;n
convertibility|being convertible (currency)|o
coping|dealing with difficulty; coping, present participle of cope|o;o
counterweight|weight that balances another|o
diagnostics|tests that identify a fault or disease|o
dispel|to drive away (fears, doubts)|v
encircle|to surround|v
falsehood|lie; being untrue|o;o
freshly|newly, just|o
glitch|small fault|o
ideologically|in terms of ideology|o
imperialist|supporting empire-building|o
implicate|to show to be involved (in a crime)|v
inadvertently|by accident|o
intangible|not physical, hard to define|o
interlocutor|person one talks with|o
keyhole|hole for a key|o
laissez|laissez-faire: policy of non-interference|n
logistical|of logistics, practical arrangements|o
malign|to speak badly of; harmful|v;o
momentous|very important|o
oxide|compound of oxygen with another element|o
paraphrase|to say in other words; rewording|v;o
perilous|dangerous|o
premia|premia, plural of premium|o
questioner|person who asks questions|o
raspberry|red soft fruit; rude noise with the tongue|o;o
rebuke|to scold sharply; sharp criticism|v;o
recapture|to capture again; to recreate (a feeling)|v;v
relinquish|to give up|v
renege|to go back on (a promise)|v
saith|says (with he, she, it)|f3s
seductive|tempting, sexually attractive|o
seventeenth|17th|o
shortsighted|not thinking of the future; unable to see far|o;o
showdown|final confrontation|o
signify|to mean, to indicate|v
sixteenth|16th|o
sociologist|expert in sociology|o
stellar|excellent; of stars|o;o
triumphant|victorious, rejoicing|o
undesirable|not wanted|o
unjust|unfair|o
unnecessarily|without need|o
watermelon|large green fruit with red flesh|o
agility|quickness, nimbleness|o
antigen|substance that triggers an immune response|o
backseat|rear seat of a car; take a backseat: to take a less active role|o;n
campfire|outdoor fire at a camp|o
caretaker|person who looks after a building or a person; temporary (caretaker government)|o;o
cartilage|tough flexible tissue in joints|o
childcare|looking after children|o
cognition|thinking and knowing|o
colonize|to establish a colony in|v
decentralization|spreading power away from the centre|o
deprivation|lack of necessities; hardship|o;o
dilute|to weaken by adding water|v
dresser|chest of drawers; person who dresses (a smart dresser)|o;o
dumbass|stupid person (colloq., vulgar)|o
enhancement|improvement|o
evoke|to call to mind|v
exorbitant|far too high (price)|o
